"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FulfillmentFalloutRule","Fulfillment Fallout Rule","Id","Fulfillment Fallout Rule ID","id",18,false,"[]",,false,false,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","StepType","Fulfillment Step Type","picklist",255,true,"[]",,false,true,,"[""Callout"",""Auto Task""]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","IntegrationDefinitionId","Integration Provider Definition ID","reference",18,true,"[""IntegrationProviderDef""]","IntegrationDefinition",false,true,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","FlowDefinitionName","Flow Definition Name","string",80,true,"[]",,false,true,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","ErrorCode","Error Code","string",255,true,"[]",,false,true,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","RetryPolicy","Retry Policy","picklist",255,true,"[]",,false,true,,"[""Immediate"",""Monotonous"",""Staggered""]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","RetriesAllowed","Retries Allowed","int",0,true,"[]",,false,true,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","RetryIntervals","Retry Intervals (in Minutes)","string",255,true,"[]",,false,true,,"[]",false
"FulfillmentFalloutRule","Fulfillment Fallout Rule","FalloutQueueId","Group ID","reference",18,true,"[""Group""]","FalloutQueue",false,true,,"[]",false
