"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FulfillmentStepDefinition","Fulfillment Step Definition","Id","Fulfillment Step Definition ID","id",18,false,"[]",,false,false,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","Name","Fulfillment Step Definition Name","string",255,false,"[]",,false,true,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","StepDefinitionGroupId","Fulfillment Step Definition Group ID","reference",18,false,"[""FulfillmentStepDefinitionGroup""]","StepDefinitionGroup",false,true,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","Scope","Scope","picklist",255,true,"[]",,false,true,,"[""Plan"",""Bundle"",""Line Item"",""Cross Plan""]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","ExecuteOnRuleId","Execute On Rule ID","reference",18,true,"[""ExpressionSet""]","ExecuteOnRule",false,true,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","FlowDefinitionName","Flow Definition Name","string",255,true,"[]",,false,true,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","StepType","Step Type","picklist",255,true,"[]",,false,true,,"[""Auto Task"",""Callout"",""Manual Task"",""Milestone"",""Pause"",""Staged Assetize""]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","IntegrationDefinitionNameId","Integration Provider Definition ID","reference",18,true,"[""IntegrationProviderDef""]","IntegrationDefinitionName",false,true,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","AssignedToId","Assigned To ID","reference",18,true,"[""Group"",""User""]","AssignedTo",false,true,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","ResumeOnRuleId","Resume On Rule ID","reference",18,true,"[""ExpressionSet""]","ResumeOnRule",false,true,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","RunAsUserId","User ID","reference",18,true,"[""User""]","RunAsUser",false,true,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","UsageType","Usage Type","picklist",255,true,"[]",,false,true,,"[""Order Fulfillment"",""Stage Management"",""Integration Orchestrator"",""Fulfillment"",""Insurance Rule Action""]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","OmniscriptName","Omniscript Name","string",255,true,"[]",,false,true,"Specify a unique name in the format, Type_SubType_Language of the OmniScript that's used by the Manual Task type in the fulfillment step.","[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","IsSkipBranch","Skip Branch","boolean",0,false,"[]",,false,true,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","TaskAllocationType","Step Assignment Method","picklist",255,true,"[]",,false,true,,"[""Context Based"",""Least Loaded"",""Round Robin""]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","ExecuteOn","Execute Based On","picklist",255,true,"[]",,false,true,,"[""Source Line Start Date"",""Previous Steps' Execution Date""]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","DelayOf","Delay Value","int",0,true,"[]",,false,true,,"[]",false
"FulfillmentStepDefinition","Fulfillment Step Definition","DelayUnit","Delay Unit","picklist",255,true,"[]",,false,true,,"[""Minutes"",""Hours"",""Days""]",false
