"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FulfillmentStepSource","Fulfillment Step Source","Id","Fulfillment Step Source ID","id",18,false,"[]",,false,false,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","StepId","Fulfillment Step ID","reference",18,false,"[""FulfillmentStep""]","Step",false,false,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","SourceLineItemId","SourceLineItem ID","reference",18,true,"[""FulfillmentOrderLineItem"",""OrderItem""]","SourceLineItem",false,true,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","SourceIdentifier","Source Identifier","string",18,true,"[]",,false,true,,"[]",false
"FulfillmentStepSource","Fulfillment Step Source","VersionGroupIdentifier","Version Group Identifier","string",18,true,"[]",,false,true,,"[]",false
