"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"PricebookEntry","Price Book Entry","Id","Price Book Entry ID","id",18,false,"[]",,false,false,,"[]",false
"PricebookEntry","Price Book Entry","Name","Product Name","string",255,true,"[]",,false,false,,"[]",false
"PricebookEntry","Price Book Entry","Pricebook2Id","Price Book ID","reference",18,false,"[""Pricebook2""]","Pricebook2",false,false,,"[]",false
"PricebookEntry","Price Book Entry","Product2Id","Product ID","reference",18,false,"[""Product2""]","Product2",false,false,,"[]",false
"PricebookEntry","Price Book Entry","UnitPrice","List Price","currency",0,false,"[]",,false,true,,"[]",false
"PricebookEntry","Price Book Entry","IsActive","Active","boolean",0,false,"[]",,false,true,,"[]",false
"PricebookEntry","Price Book Entry","UseStandardPrice","Use Standard Price","boolean",0,false,"[]",,false,true,,"[]",false
"PricebookEntry","Price Book Entry","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"PricebookEntry","Price Book Entry","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"PricebookEntry","Price Book Entry","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"PricebookEntry","Price Book Entry","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"PricebookEntry","Price Book Entry","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"PricebookEntry","Price Book Entry","ProductCode","Product Code","string",255,true,"[]",,false,false,,"[]",false
"PricebookEntry","Price Book Entry","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"PricebookEntry","Price Book Entry","IsArchived","Archived","boolean",0,false,"[]",,false,false,,"[]",false
"PricebookEntry","Price Book Entry","ProductSellingModelId","Product Selling Model ID","reference",18,true,"[""ProductSellingModel""]","ProductSellingModel",false,false,,"[]",false
"PricebookEntry","Price Book Entry","IsDerived","Is Derived","boolean",0,false,"[]",,false,false,"Specify if the price of the product is derived from another source, such as a product or asset.","[]",false
