"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductClassification","Product Classification","Id","Product Classification ID","id",18,false,"[]",,false,false,,"[]",false
"ProductClassification","Product Classification","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductClassification","Product Classification","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductClassification","Product Classification","Name","Product Classification Name","string",80,false,"[]",,false,true,,"[]",false
"ProductClassification","Product Classification","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductClassification","Product Classification","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductClassification","Product Classification","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductClassification","Product Classification","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductClassification","Product Classification","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductClassification","Product Classification","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductClassification","Product Classification","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductClassification","Product Classification","Code","Code","string",80,false,"[]",,true,true,,"[]",false
"ProductClassification","Product Classification","Status","Status","picklist",255,false,"[]",,false,true,,"[""Draft"",""Active"",""Inactive""]",false
"ProductClassification","Product Classification","ParentProductClassificationId","Product Classification ID","reference",18,true,"[""ProductClassification""]","ParentProductClassification",false,false,,"[]",false
