"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","Id","Decomposition Rule ID","id",18,false,"[]",,false,false,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","Name","Decomposition Rule Name","string",255,false,"[]",,false,true,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","SourceProductId","Product ID","reference",18,true,"[""Product2""]","SourceProduct",false,true,"Select either a source product or a source product classification for the decomposition rule","[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","DestinationProductId","Product ID","reference",18,false,"[""Product2""]","DestinationProduct",false,true,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","Priority","Priority","int",0,true,"[]",,false,true,,"[]",false
"ProductFulfillmentDecompRule","Product Fulfillment Decomposition Rule","SourceProductClassificationId","Product Classification ID","reference",18,true,"[""ProductClassification""]","SourceProductClassification",false,true,"Select either a source product or a source product classification for the decomposition rule","[]",false
