"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductFulfillmentScenario","Product Fulfillment Scenario","Id","Product Fulfillment Scenario ID","id",18,false,"[]",,false,false,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","FulfillmentStepDefnGroupId","Fulfillment Step Definition Group ID","reference",18,true,"[""FulfillmentStepDefinitionGroup""]","FulfillmentStepDefnGroup",false,true,,"[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","ProductId","Product ID","reference",18,true,"[""Product2""]","Product",false,true,"Select either a product or a product classification for the fulfillment scenario","[]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","Action","Action","multipicklist",4099,true,"[]",,false,true,,"[""Add"",""Amend"",""Renew"",""NoChange"",""Cancel""]",false
"ProductFulfillmentScenario","Product Fulfillment Scenario","ProductClassificationId","Product Classification ID","reference",18,true,"[""ProductClassification""]","ProductClassification",false,true,"Select either a product or a product classification for the fulfillment scenario","[]",false
