"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ValTfrm","Value Transformation","Id","Value Transformation Id","id",18,false,"[]",,false,false,,"[]",false
"ValTfrm","Value Transformation","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ValTfrm","Value Transformation","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"ValTfrm","Value Transformation","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ValTfrm","Value Transformation","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ValTfrm","Value Transformation","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ValTfrm","Value Transformation","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ValTfrm","Value Transformation","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ValTfrm","Value Transformation","ValueTransformGroupId","Value Transformation Groups ID","reference",18,false,"[""ValTfrmGrp""]","ValueTransformGroup",false,false,,"[]",false
"ValTfrm","Value Transformation","InputString","Input String","string",255,true,"[]",,false,true,,"[]",false
"ValTfrm","Value Transformation","InputNumber","Input Number","double",0,true,"[]",,false,true,,"[]",false
"ValTfrm","Value Transformation","InputDate","Input Date","date",0,true,"[]",,false,true,,"[]",false
"ValTfrm","Value Transformation","InputDatetime","Input Datetime","datetime",0,true,"[]",,false,true,,"[]",false
"ValTfrm","Value Transformation","IsInputBoolean","Input Boolean","boolean",0,false,"[]",,false,true,,"[]",false
"ValTfrm","Value Transformation","InputPicklistValueId","Attribute Picklist Value ID","reference",18,true,"[""AttributePicklistValue""]","InputPicklistValue",false,true,,"[]",false
"ValTfrm","Value Transformation","OutputString","Output String","string",255,true,"[]",,false,true,,"[]",false
"ValTfrm","Value Transformation","OutputNumber","Output Number","double",0,true,"[]",,false,true,,"[]",false
"ValTfrm","Value Transformation","OutputDate","Output Date","date",0,true,"[]",,false,true,,"[]",false
"ValTfrm","Value Transformation","OutputDatetime","Output Datetime","datetime",0,true,"[]",,false,true,,"[]",false
"ValTfrm","Value Transformation","IsOutputBoolean","Output Boolean","boolean",0,false,"[]",,false,true,,"[]",false
"ValTfrm","Value Transformation","OutputPicklistValueId","Attribute Picklist Value ID","reference",18,true,"[""AttributePicklistValue""]","OutputPicklistValue",false,true,,"[]",false
