"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ValTfrmGrp","Value Transformation Group","Id","Value Transformation Group Id","id",18,false,"[]",,false,false,,"[]",false
"ValTfrmGrp","Value Transformation Group","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ValTfrmGrp","Value Transformation Group","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ValTfrmGrp","Value Transformation Group","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"ValTfrmGrp","Value Transformation Group","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ValTfrmGrp","Value Transformation Group","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ValTfrmGrp","Value Transformation Group","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ValTfrmGrp","Value Transformation Group","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ValTfrmGrp","Value Transformation Group","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ValTfrmGrp","Value Transformation Group","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ValTfrmGrp","Value Transformation Group","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ValTfrmGrp","Value Transformation Group","SourcePrimitiveType","Source Primitive Data Type","picklist",255,false,"[]",,false,true,,"[""Number"",""Text"",""Date"",""Boolean"",""Datetime"",""Picklist"",""Datetime"",""Picklist Value""]",false
"ValTfrmGrp","Value Transformation Group","IsSourceEnumerated","Is Source an Enumeration","boolean",0,false,"[]",,false,true,,"[]",false
"ValTfrmGrp","Value Transformation Group","DestinationPrimitiveType","Destination Primitive Data Type","picklist",255,false,"[]",,false,true,,"[""Number"",""Text"",""Date"",""Boolean"",""Datetime"",""Picklist"",""Datetime"",""Picklist Value""]",false
"ValTfrmGrp","Value Transformation Group","IsDestinationEnumerated","Is Destination an Enumeration","boolean",0,false,"[]",,false,true,,"[]",false
"ValTfrmGrp","Value Transformation Group","UsageType","Usage Type","picklist",255,false,"[]",,false,true,,"[""DFO List Mapping""]",false
