"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"AttributeCategory","Attribute Category","Id","Attribute Category ID","id",18,false,"[]",,false,false,,"[]",false
"AttributeCategory","Attribute Category","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"AttributeCategory","Attribute Category","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"AttributeCategory","Attribute Category","Name","Name","string",80,false,"[]",,false,true,,"[]",false
"AttributeCategory","Attribute Category","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeCategory","Attribute Category","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"AttributeCategory","Attribute Category","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeCategory","Attribute Category","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"AttributeCategory","Attribute Category","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeCategory","Attribute Category","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeCategory","Attribute Category","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeCategory","Attribute Category","Code","Code","string",80,true,"[]",,true,true,,"[]",false
"AttributeCategory","Attribute Category","Description","Description","textarea",32000,true,"[]",,false,true,,"[]",false
