"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"AttributeCategoryAttribute","Attribute Category Attribute","Id","Attribute Category Attribute ID","id",18,false,"[]",,false,false,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","AttributeCategoryId","Attribute Category ID","reference",18,false,"[""AttributeCategory""]","AttributeCategory",false,true,,"[]",false
"AttributeCategoryAttribute","Attribute Category Attribute","AttributeDefinitionId","Attribute Definition ID","reference",18,false,"[""AttributeDefinition""]","AttributeDefinition",false,true,,"[]",false
