"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"AttributeDefinition","Attribute Definition","Id","Attribute Definition ID","id",18,false,"[]",,false,false,,"[]",false
"AttributeDefinition","Attribute Definition","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"AttributeDefinition","Attribute Definition","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"AttributeDefinition","Attribute Definition","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"AttributeDefinition","Attribute Definition","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeDefinition","Attribute Definition","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"AttributeDefinition","Attribute Definition","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeDefinition","Attribute Definition","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"AttributeDefinition","Attribute Definition","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeDefinition","Attribute Definition","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeDefinition","Attribute Definition","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeDefinition","Attribute Definition","UnitOfMeasureId","Unit of Measure ID","reference",18,true,"[""UnitOfMeasure""]","UnitOfMeasure",false,true,"Only for the number data type.","[]",false
"AttributeDefinition","Attribute Definition","Label","Label","string",255,false,"[]",,false,true,,"[]",false
"AttributeDefinition","Attribute Definition","Description","Description","textarea",32000,true,"[]",,false,true,,"[]",false
"AttributeDefinition","Attribute Definition","DataType","Data Type","picklist",255,false,"[]",,false,false,,"[""Checkbox"",""Date"",""Datetime"",""Number"",""Text"",""Currency"",""Percent"",""Picklist""]",false
"AttributeDefinition","Attribute Definition","IsActive","Active","boolean",0,false,"[]",,false,true,,"[]",false
"AttributeDefinition","Attribute Definition","IsRequired","Required","boolean",0,false,"[]",,false,true,,"[]",false
"AttributeDefinition","Attribute Definition","DefaultValue","Default Value","string",255,true,"[]",,false,true,,"[]",false
"AttributeDefinition","Attribute Definition","SourceSystemIdentifier","Source System ID","string",255,true,"[]",,false,true,,"[]",false
"AttributeDefinition","Attribute Definition","ValueDescription","Value Description","textarea",32000,true,"[]",,false,true,,"[]",false
"AttributeDefinition","Attribute Definition","PicklistId","Attribute Picklist ID","reference",18,true,"[""AttributePicklist""]","Picklist",false,false,,"[]",false
"AttributeDefinition","Attribute Definition","DefaultHelpText","Default Help Text","textarea",32000,true,"[]",,false,true,,"[]",false
"AttributeDefinition","Attribute Definition","Code","Code","string",80,true,"[]",,true,true,,"[]",false
"AttributeDefinition","Attribute Definition","DeveloperName","API Name","string",80,false,"[]",,false,false,"Enter a unique name. This name must begin with a letter and use only alphanumeric characters and underscores. It can't include spaces, end with an underscore, or have two consecutive underscores.","[]",false
