"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"AttributePicklistValue","Attribute Picklist Value","Id","Attribute Picklist Value ID","id",18,false,"[]",,false,false,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","Name","Name","string",80,false,"[]",,false,true,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","PicklistId","Attribute Picklist ID","reference",18,false,"[""AttributePicklist""]","Picklist",false,false,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","Abbreviation","Abbreviation","string",255,true,"[]",,false,true,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","Status","Status","picklist",255,true,"[]",,false,true,,"[""Draft"",""Active"",""Inactive""]",false
"AttributePicklistValue","Attribute Picklist Value","Code","Code","string",80,false,"[]",,true,true,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","DisplayValue","Display Value","string",255,true,"[]",,false,true,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","IsDefault","Default","boolean",0,false,"[]",,false,true,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","Sequence","Sequence","double",0,true,"[]",,false,true,,"[]",false
"AttributePicklistValue","Attribute Picklist Value","Value","Value","string",255,false,"[]",,false,true,,"[]",false
