"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductAttributeDefinition","Product Attribute Definition","Id","Product Attribute Definition ID","id",18,false,"[]",,false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","AttributeNameOverride","Attribute Name Override","string",255,true,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","DefaultValue","Default Value","string",255,true,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","ValueDescription","Value Description","textarea",32000,true,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","Description","Description","textarea",32000,true,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","HelpText","Help Text","textarea",32000,true,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","IsHidden","Is Hidden","boolean",0,false,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","IsReadOnly","Is Read Only","boolean",0,false,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","IsRequired","Is Required","boolean",0,false,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","Product2Id","Product ID","reference",18,false,"[""Product2""]","Product2",false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","AttributeDefinitionId","Attribute Definition ID","reference",18,false,"[""AttributeDefinition""]","AttributeDefinition",false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","Status","Status","picklist",255,false,"[]",,false,true,,"[""Active"",""Inactive""]",false
"ProductAttributeDefinition","Product Attribute Definition","OverrideContextId","Override Context ID","reference",18,true,"[""Product2""]","OverrideContext",false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","OverriddenProductAttributeDefinitionId","Product Attribute Definition ID","reference",18,true,"[""ProductAttributeDefinition""]","OverriddenProductAttributeDefinition",false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","IsPriceImpacting","Is Price Impacting","boolean",0,false,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","Sequence","Sequence","int",0,true,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","AttributeCategoryId","Attribute Category ID","reference",18,true,"[""AttributeCategory""]","AttributeCategory",false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","ProductClassificationAttributeId","Product Classification Attribute ID","reference",18,false,"[""ProductClassificationAttr""]","ProductClassificationAttribute",false,false,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","MinimumValue","Minimum Value","string",255,true,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","MaximumValue","Maximum Value","string",255,true,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","MinimumCharacterCount","Minimum Character Count","int",0,true,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","MaximumCharacterCount","Maximum Character Count","int",0,true,"[]",,false,true,,"[]",false
"ProductAttributeDefinition","Product Attribute Definition","DisplayType","Display Type","picklist",255,true,"[]",,false,true,,"[""Combobox"",""Text"",""Radio Button"",""Checkbox"",""Toggle"",""Number"",""Date"",""Date Time"",""Slider""]",false
"ProductAttributeDefinition","Product Attribute Definition","StepValue","Step Value","string",255,true,"[]",,false,true,,"[]",false
