"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductCatalog","Catalog","Id","Catalog ID","id",18,false,"[]",,false,false,,"[]",false
"ProductCatalog","Catalog","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductCatalog","Catalog","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductCatalog","Catalog","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"ProductCatalog","Catalog","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductCatalog","Catalog","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductCatalog","Catalog","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductCatalog","Catalog","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductCatalog","Catalog","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductCatalog","Catalog","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductCatalog","Catalog","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductCatalog","Catalog","NumberOfCategories","Number of Categories","int",0,true,"[]",,false,false,,"[]",false
"ProductCatalog","Catalog","Code","Code","string",255,true,"[]",,true,true,,"[]",false
"ProductCatalog","Catalog","Description","Description","textarea",32000,true,"[]",,false,true,,"[]",false
"ProductCatalog","Catalog","EffectiveEndDate","Effective End Date","datetime",0,true,"[]",,false,true,,"[]",false
"ProductCatalog","Catalog","EffectiveStartDate","Effective Start Date","datetime",0,true,"[]",,false,true,,"[]",false
"ProductCatalog","Catalog","CatalogType","Catalog Type","picklist",255,true,"[]",,false,true,,"[""Sales"",""Service Process""]",false
