"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductCategoryDisqual","Product Category Disqualification","Id","Product Category Disqualification ID","id",18,false,"[]",,false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","IsDisqualified","Disqualified","boolean",0,false,"[]",,false,false,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","EffectiveToDate","Effective To Date","date",0,false,"[]",,false,true,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","EffectiveFromDate","Effective From Date","date",0,false,"[]",,false,true,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","CategoryId","Category ID","reference",18,false,"[""ProductCategory""]","Category",false,true,,"[]",false
"ProductCategoryDisqual","Product Category Disqualification","Reason","Reason","string",255,true,"[]",,false,true,,"[]",false
