"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductClassificationAttr","Product Classification Attribute","Id","Product Classification Attribute ID","id",18,false,"[]",,false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","ProductClassificationId","Product Classification ID","reference",18,false,"[""ProductClassification""]","ProductClassification",false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","AttributeDefinitionId","Attribute Definition ID","reference",18,false,"[""AttributeDefinition""]","AttributeDefinition",false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","AttributeCategoryId","Attribute Category ID","reference",18,true,"[""AttributeCategory""]","AttributeCategory",false,false,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","Description","Description","textarea",32000,true,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","ValueDescription","Value Description","textarea",32000,true,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","HelpText","Help Text","textarea",32000,true,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","IsHidden","Is Hidden","boolean",0,false,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","IsReadOnly","Is Read Only","boolean",0,false,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","IsRequired","Is Required","boolean",0,false,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","Status","Status","picklist",255,false,"[]",,false,true,,"[""Active"",""Inactive""]",false
"ProductClassificationAttr","Product Classification Attribute","Sequence","Sequence","int",0,true,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","AttributeNameOverride","Attribute Name Override","string",255,true,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","DefaultValue","Default Value","string",255,true,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","DisplayType","Display Type","picklist",255,true,"[]",,false,true,,"[""Combobox"",""Text"",""Radio Button"",""Checkbox"",""Toggle"",""Number"",""Date"",""Date Time"",""Slider""]",false
"ProductClassificationAttr","Product Classification Attribute","IsPriceImpacting","Is Price Impacting","boolean",0,false,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","MinimumValue","Minimum Value","string",255,true,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","MaximumValue","Maximum Value","string",255,true,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","MinimumCharacterCount","Minimum Character Count","int",0,true,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","MaximumCharacterCount","Maximum Character Count","int",0,true,"[]",,false,true,,"[]",false
"ProductClassificationAttr","Product Classification Attribute","StepValue","Step Value","string",255,true,"[]",,false,true,,"[]",false
