"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductComponentGroup","Product Component Group","Id","Product Component Group ID","id",18,false,"[]",,false,false,,"[]",false
"ProductComponentGroup","Product Component Group","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductComponentGroup","Product Component Group","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductComponentGroup","Product Component Group","Name","Group Name","string",255,false,"[]",,false,true,,"[]",false
"ProductComponentGroup","Product Component Group","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductComponentGroup","Product Component Group","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductComponentGroup","Product Component Group","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductComponentGroup","Product Component Group","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductComponentGroup","Product Component Group","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductComponentGroup","Product Component Group","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductComponentGroup","Product Component Group","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductComponentGroup","Product Component Group","ParentProductId","Product ID","reference",18,false,"[""Product2""]","ParentProduct",false,false,,"[]",false
"ProductComponentGroup","Product Component Group","ParentGroupId","Product Component Group ID","reference",18,true,"[""ProductComponentGroup""]","ParentGroup",false,true,,"[]",false
"ProductComponentGroup","Product Component Group","MinBundleComponents","Min Number of Components","int",0,true,"[]",,false,true,,"[]",false
"ProductComponentGroup","Product Component Group","MaxBundleComponents","Max Number of Components","int",0,true,"[]",,false,true,,"[]",false
"ProductComponentGroup","Product Component Group","Description","Description","textarea",4000,true,"[]",,false,true,,"[]",false
"ProductComponentGroup","Product Component Group","Sequence","Sequence","int",0,true,"[]",,false,true,,"[]",false
"ProductComponentGroup","Product Component Group","Code","Code","string",255,true,"[]",,true,true,,"[]",false
