"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductComponentGrpOverride","Product Component Group Override","Id","Product Component Grp Override ID","id",18,false,"[]",,false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","OverrideContextId","Override Context ID","reference",18,false,"[""Product2""]","OverrideContext",false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","ProductComponentGroupId","Product Component Group ID","reference",18,false,"[""ProductComponentGroup""]","ProductComponentGroup",false,false,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","IsExcluded","Exclude","boolean",0,false,"[]",,false,true,"Excluding a component removes it from the product bundle in the run time. ","[]",false
"ProductComponentGrpOverride","Product Component Group Override","MinBundleComponents","Minimum Bundle Components","int",0,true,"[]",,false,true,,"[]",false
"ProductComponentGrpOverride","Product Component Group Override","MaxBundleComponents","Maximum Bundle Components","int",0,true,"[]",,false,true,,"[]",false
