"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductDisqualification","Product Disqualification","Id","Product Disqualification ID","id",18,false,"[]",,false,false,,"[]",false
"ProductDisqualification","Product Disqualification","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductDisqualification","Product Disqualification","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductDisqualification","Product Disqualification","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"ProductDisqualification","Product Disqualification","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductDisqualification","Product Disqualification","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductDisqualification","Product Disqualification","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductDisqualification","Product Disqualification","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductDisqualification","Product Disqualification","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductDisqualification","Product Disqualification","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductDisqualification","Product Disqualification","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductDisqualification","Product Disqualification","IsDisqualified","Disqualified","boolean",0,false,"[]",,false,false,,"[]",false
"ProductDisqualification","Product Disqualification","EffectiveToDate","Effective To","date",0,false,"[]",,false,true,,"[]",false
"ProductDisqualification","Product Disqualification","EffectiveFromDate","Effective From","date",0,false,"[]",,false,true,,"[]",false
"ProductDisqualification","Product Disqualification","ProductId","Product ID","reference",18,false,"[""Product2""]","Product",false,true,,"[]",false
"ProductDisqualification","Product Disqualification","Reason","Reason","textarea",3200,true,"[]",,false,true,,"[]",false
"ProductDisqualification","Product Disqualification","RootProductId","Product ID","reference",18,true,"[""Product2""]","RootProduct",false,true,,"[]",false
"ProductDisqualification","Product Disqualification","ParentProductId","Product ID","reference",18,true,"[""Product2""]","ParentProduct",false,true,,"[]",false
