"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductRelComponentOverride","Product Related Component Override","Id","Product Related Component Override ID","id",18,false,"[]",,false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","MaxQuantity","Max Quantity","double",0,true,"[]",,false,true,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","MinQuantity","Min Quantity","double",0,true,"[]",,false,true,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","Quantity","Quantity","double",0,true,"[]",,false,true,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","IsExcluded","Exclude","boolean",0,false,"[]",,false,true,"Excluding a component removes it from the product bundle in the run time. ","[]",false
"ProductRelComponentOverride","Product Related Component Override","ProductRelatedComponentId","Product Related Component ID","reference",18,false,"[""ProductRelatedComponent""]","ProductRelatedComponent",false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","OverrideContextId","Override Context ID","reference",18,false,"[""Product2""]","OverrideContext",false,false,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","IsComponentRequired","Require this component","boolean",0,false,"[]",,false,true,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","IsQuantityEditable","Allow quantity changes","boolean",0,false,"[]",,false,true,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","IsDefaultComponent","Include component by default","boolean",0,false,"[]",,false,true,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","DoesBundlePriceIncludeChild","Price includes component","boolean",0,false,"[]",,false,true,,"[]",false
"ProductRelComponentOverride","Product Related Component Override","QuantityScaleMethod","Quantity Scaling Method","picklist",255,true,"[]",,false,true,,"[""Constant"",""Proportional""]",false
