"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductRelatedComponent","Product Related Component","Id","Product Related Component ID","id",18,false,"[]",,false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","Name","Product Related Component Name","string",255,false,"[]",,false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","ChildProductId","Product ID","reference",18,true,"[""Product2""]","ChildProduct",false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","ChildProductClassificationId","Product Classification ID","reference",18,true,"[""ProductClassification""]","ChildProductClassification",false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","ParentProductId","Product ID","reference",18,false,"[""Product2""]","ParentProduct",false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","Quantity","Quantity","double",0,true,"[]",,false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","ParentSellingModelId","Product Selling Model ID","reference",18,true,"[""ProductSellingModel""]","ParentSellingModel",false,false,,"[]",false
"ProductRelatedComponent","Product Related Component","ChildSellingModelId","Product Selling Model ID","reference",18,true,"[""ProductSellingModel""]","ChildSellingModel",false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","Sequence","Sequence","int",0,true,"[]",,false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","DoesBundlePriceIncludeChild","Price includes component","boolean",0,false,"[]",,false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","QuantityScaleMethod","Quantity Scaling Method","picklist",255,true,"[]",,false,true,,"[""Constant"",""Proportional""]",false
"ProductRelatedComponent","Product Related Component","MaxQuantity","Max Quantity","double",0,true,"[]",,false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","MinQuantity","Min Quantity","double",0,true,"[]",,false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","ProductComponentGroupId","Product Component Group ID","reference",18,true,"[""ProductComponentGroup""]","ProductComponentGroup",false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","IsComponentRequired","Require this component","boolean",0,false,"[]",,false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","IsQuantityEditable","Allow quantity changes","boolean",0,false,"[]",,false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","IsDefaultComponent","Include component by default","boolean",0,false,"[]",,false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","ProductRelationshipTypeId","Product Relationship Type ID","reference",18,false,"[""ProductRelationshipType""]","ProductRelationshipType",false,true,,"[]",false
"ProductRelatedComponent","Product Related Component","ParentProductRole","Parent Product Role","picklist",255,false,"[]",,false,false,,"[""Bundle Parent""]",false
"ProductRelatedComponent","Product Related Component","ChildProductRole","Child Product Role","picklist",255,false,"[]",,false,false,,"[""Bundle Component"",""Product Classification Component""]",false
"ProductRelatedComponent","Product Related Component","QuoteVisibility","Quote Visibility","picklist",255,true,"[]",,false,true,,"[""Always"",""Transaction Line Editor Only"",""Quote Document Only"",""Never""]",false
