"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductSellingModel","Product Selling Model","Id","Product Selling Model ID","id",18,false,"[]",,false,false,,"[]",false
"ProductSellingModel","Product Selling Model","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductSellingModel","Product Selling Model","Name","Product Selling Model Name","string",255,false,"[]",,false,true,,"[]",false
"ProductSellingModel","Product Selling Model","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductSellingModel","Product Selling Model","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductSellingModel","Product Selling Model","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductSellingModel","Product Selling Model","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductSellingModel","Product Selling Model","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductSellingModel","Product Selling Model","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductSellingModel","Product Selling Model","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductSellingModel","Product Selling Model","SellingModelType","Selling Model Type","picklist",255,false,"[]",,false,true,,"[""One Time"",""Term-Defined"",""Evergreen""]",false
"ProductSellingModel","Product Selling Model","PricingTerm","Pricing Term","int",0,true,"[]",,false,true,,"[]",false
"ProductSellingModel","Product Selling Model","PricingTermUnit","Pricing Term Unit","picklist",255,true,"[]",,false,true,,"[""Months"",""Quarterly"",""Semi-Annual"",""Years""]",false
"ProductSellingModel","Product Selling Model","Status","Status","picklist",255,false,"[]",,false,true,,"[""Draft"",""Inactive"",""Active""]",false
