"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductSellingModelOption","Product Selling Model Option","Id","Product Selling Model Option ID","id",18,false,"[]",,false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","Name","Product Selling Model Option Name","string",255,false,"[]",,false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","ProductSellingModelId","Product Selling Model ID","reference",18,false,"[""ProductSellingModel""]","ProductSellingModel",false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","Product2Id","Product ID","reference",18,false,"[""Product2""]","Product2",false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","ProrationPolicyId","Proration Policy ID","reference",18,true,"[""ProrationPolicy""]","ProrationPolicy",false,false,,"[]",false
"ProductSellingModelOption","Product Selling Model Option","IsDefault","Default","boolean",0,false,"[]",,false,true,,"[]",false
