"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProductSpecificationType","Product Specification Type","Id","Product Specification Type ID","id",18,false,"[]",,false,false,,"[]",false
"ProductSpecificationType","Product Specification Type","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProductSpecificationType","Product Specification Type","DeveloperName","Name","string",80,false,"[]",,false,true,,"[]",false
"ProductSpecificationType","Product Specification Type","Language","Master Language","picklist",40,true,"[]",,false,true,,"[""English"",""German"",""Spanish"",""French"",""Italian"",""Japanese"",""Swedish"",""Korean"",""Chinese (Traditional)"",""Chinese (Simplified)"",""Portuguese (Brazil)"",""Dutch"",""Danish"",""Thai"",""Finnish"",""Russian"",""Spanish (Mexico)"",""Norwegian"",""Hungarian"",""Polish"",""Czech"",""Turkish"",""Indonesian"",""Romanian"",""Vietnamese"",""Ukrainian"",""Hebrew"",""Greek"",""Bulgarian"",""English (UK)"",""Arabic"",""Slovak"",""Portuguese (European)"",""Croatian"",""Slovene"",""French (Canadian)"",""Georgian"",""Serbian (Cyrillic)"",""Serbian (Latin)"",""English (Australian)"",""English (Malaysian)"",""English (Indian)"",""English (Phillipines)"",""English (Canadian)"",""Romanian (Moldova)"",""Bosnian"",""Macedonian"",""Latvian"",""Lithuanian"",""Estonian"",""Albanian"",""Montenegrin"",""Maltese"",""Irish"",""Basque"",""Welsh"",""Icelandic"",""Chuj"",""Kiche"",""Kaqchikel"",""Malay"",""Tagalog"",""Luxembourgish"",""Romansh"",""Armenian"",""Hindi"",""Urdu"",""Bengali"",""German (Austria)"",""German (Switzerland)"",""Tamil"",""Arabic (Algeria)"",""Arabic (Bahrain)"",""Arabic (Egypt)"",""Arabic (Iraq)"",""Arabic (Jordan)"",""Arabic (Kuwait)"",""Arabic (Lebanon)"",""Arabic (Libya)"",""Arabic (Morocco)"",""Arabic (Oman)"",""Arabic (Qatar)"",""Arabic (Saudi Arabia)"",""Arabic (Sudan)"",""Arabic (Syria)"",""Arabic (Tunisia)"",""Arabic (United Arab Emirates)"",""Arabic (Yemen)"",""Chinese (Singapore)"",""Chinese (Hong Kong)"",""English (Hong Kong)"",""English (Ireland)"",""English (Singapore)"",""English (South Africa)"",""French (Belgium)"",""French (Luxembourg)"",""French (Switzerland)"",""German (Belgium)"",""German (Luxembourg)"",""Italian (Switzerland)"",""Dutch (Belgium)"",""Spanish (Argentina)"",""Spanish (Bolivia)"",""Spanish (Chile)"",""Spanish (Colombia)"",""Spanish (Costa Rica)"",""Spanish (Dominican Republic)"",""Spanish (Ecuador)"",""Spanish (El Salvador)"",""Spanish (Guatemala)"",""Spanish (Honduras)"",""Spanish (Nicaragua)"",""Spanish (Panama)"",""Spanish (Paraguay)"",""Spanish (Peru)"",""Spanish (Puerto Rico)"",""Spanish (United States)"",""Spanish (Uruguay)"",""Spanish (Venezuela)"",""Catalan"",""Afrikaans"",""Swahili"",""Zulu"",""Xhosa"",""Telugu"",""Malayalam"",""Kannada"",""Marathi"",""Gujarati"",""Punjabi"",""English (New Zealand)"",""Te reo"",""Burmese"",""Farsi"",""Khmer"",""Amharic"",""Kazakh"",""Haitian Creole"",""Samoan"",""Hawaiian"",""Chinese (Malaysia)"",""Russian (Lithuania)"",""Russian (Poland)"",""Russian (Armenia)"",""Russian (Kazakhstan)"",""Russian (Kyrgyzstan)"",""Russian (Belarus)"",""Russian (Moldova)"",""Russian (Ukraine)"",""English (United Arab Emirates)"",""English (Belgium)"",""English (Cyprus)"",""English (Germany)"",""English (Israel)"",""English (Italy)"",""English (Netherlands)"",""English (Malta)"",""English (Spain)"",""English (Poland)"",""English (Denmark)"",""English (Sweden)"",""English (Norway)"",""English (France)"",""English (Hungary)"",""English (Czechia)"",""English (Slovakia)"",""English (Romania)"",""English (Switzerland)"",""English (Albania)"",""English (Andorra)"",""English (Antigua and Barbuda)"",""English (Austria)"",""English (Bahamas)"",""English (Barbados)"",""English (Belize)"",""English (Bosnia and Herzegovina)"",""English (Bulgaria)"",""English (Croatia)"",""English (Dominica)"",""English (Estonia)"",""English (Finland)"",""English (Gibraltar)"",""English (Greece)"",""English (Grenada)"",""English (Guyana)"",""English (Iceland)"",""English (Jamaica)"",""English (Japan)"",""English (Latvia)"",""English (Liechtenstein)"",""English (Lithuania)"",""English (Luxembourg)"",""English (Monaco)"",""English (Montenegro)"",""English (North Macedonia)"",""English (Portugal)"",""English (Serbia)"",""English (Slovenia)"",""English (South Korea)"",""English (St. Kitts and Nevis)"",""English (St. Lucia)"",""English (St. Vincent and the Grenadines)"",""English (Taiwan)"",""English (Thailand)"",""English (Trinidad and Tobago)"",""English (Turkey)"",""Dutch (Suriname)"",""French (Haiti)"",""German (Liechtenstein)"",""Spanish (Andorra)"",""Swedish (Finland)"",""Greek (Cyprus)"",""French (Morocco)"",""Greenlandic"",""Yiddish"",""Hmong""]",false
"ProductSpecificationType","Product Specification Type","MasterLabel","Label","string",80,false,"[]",,false,true,,"[]",false
"ProductSpecificationType","Product Specification Type","NamespacePrefix","Namespace Prefix","string",15,true,"[]",,false,false,,"[]",false
"ProductSpecificationType","Product Specification Type","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductSpecificationType","Product Specification Type","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProductSpecificationType","Product Specification Type","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProductSpecificationType","Product Specification Type","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
