"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ProrationPolicy","Proration Policy","Id","Proration Policy ID","id",18,false,"[]",,false,false,,"[]",false
"ProrationPolicy","Proration Policy","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"ProrationPolicy","Proration Policy","Name","Proration Policy Name","string",255,false,"[]",,false,false,,"[]",false
"ProrationPolicy","Proration Policy","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProrationPolicy","Proration Policy","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ProrationPolicy","Proration Policy","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ProrationPolicy","Proration Policy","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ProrationPolicy","Proration Policy","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"ProrationPolicy","Proration Policy","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProrationPolicy","Proration Policy","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"ProrationPolicy","Proration Policy","ProrationPolicyType","Proration Policy Type","picklist",255,false,"[]",,false,false,,"[""Standard Time Periods""]",false
"ProrationPolicy","Proration Policy","RemainderStrategy","Remainder Strategy","picklist",255,false,"[]",,false,false,,"[""Add to First"",""Add to Last""]",false
"ProrationPolicy","Proration Policy","ArePartialPeriodsAllowed","Allow partial proration periods","boolean",0,false,"[]",,false,false,,"[]",false
