Id,IsDeleted,DeveloperName,Language,MasterLabel,NamespacePrefix,SetupName,Description,LastSyncDate,SourceObject,Status,Type,ConditionCriteria,ConditionType,DataSourceType,FilterResultBy,CollectOperator,SourceConditionLogic,UsageType,RefreshStatus,RefreshFailureReason,DoesConsiderNullValue,ExecutionType,UploadStatus,IsIncrementalSyncEnabled,HasIncrementalSyncFailed,LastIncrementalSyncDate,DownloadStatus
0lDau0000001bvBEAQ,false,Price_Book_Entry_Decision_Table_v2,en_US,Decision Tables,,Price Book Entries V2,Price Book Entry Decision Table V2,2025-06-11T19:35:24.000+0000,PricebookEntry,Active,MediumVolume,1 AND 2 AND 3,All,SingleSobject,,,,DefaultPricing,Completed,,true,Hbpo,,false,false,,
0lDau0000001bwnEAA,false,Price_Adjustment_Tier_Decision_Table,en_US,Decision Tables,,Volume Discount Entries,Price Adjustment Tier Decision Table,2025-06-11T19:35:25.000+0000,PriceAdjustmentTier,Active,MediumVolume,1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7,All,SingleSobject,,,,DefaultPricing,Completed,,true,Hbpo,,false,false,,
0lDau0000001bwoEAA,false,Asset_Action_Source_Entries_Decision_Table_V2,en_US,Decision Tables,,Asset Action Source Entries V2,Asset Action Source Entries Decision Table V2,2025-06-11T19:35:26.000+0000,AssetActionSource,Active,MediumVolume,1 AND 2 AND 3 AND 4 AND 5 AND 6,All,MultipleSobjects,,,,PricingDiscovery,Completed,,true,Hbpo,,false,false,,
0lDau0000001bwpEAA,false,Contract_Pricing_Volume_Tiers,en_US,Decision Tables,,Contract Pricing Volume Tiers,A table that stores the contract item price adjustment tiers that are used in volume calculations.,2025-06-11T19:35:26.000+0000,ContractItemPriceAdjTier,Active,MediumVolume,1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7,All,MultipleSobjects,,,1 AND 2,DefaultPricing,Completed,,true,Hbpo,,false,false,,
0lDau0000001byPEAQ,false,Tiered_Adjustment_Tier_Decision_Table,en_US,Decision Tables,,Tiered Adjustment Entries,Tiered Adjustment Decision Table,2025-06-11T19:35:26.000+0000,PriceAdjustmentTier,Active,MediumVolume,1 AND 2 AND 3 AND 4 AND 5,All,SingleSobject,,,,DefaultPricing,Completed,,true,Hbpo,,false,false,,
0lDau0000001c01EAA,false,Attribute_Based_Adjustment_Decision_Table,en_US,Decision Tables,,Attribute Discount Entries,Attribute Based Adjustment Decision Table,2025-06-11T19:35:31.000+0000,AttributeBasedAdjustment,Active,MediumVolume,1 AND 2 AND 3 AND 4 AND 5 AND 6,All,SingleSobject,,,,DefaultPricing,Completed,,true,Hbpo,,false,false,,
0lDau0000001c02EAA,false,Bundle_Based_Adjustment_Decision_Table,en_US,Decision Tables,,Bundle Based Adjustment Entries,Bundle Based Adjustment Decision Table,2025-06-11T19:35:27.000+0000,BundleBasedAdjustment,Active,MediumVolume,1 AND 2 AND 3 AND 4 AND 5 AND 6 AND 7 AND 8 AND 9,All,SingleSobject,,,,DefaultPricing,Completed,,true,Hbpo,,false,false,,
0lDau0000001c1dEAA,false,Derived_Pricing_Entries_Decision_Table,en_US,Decision Tables,,Derived Pricing Entries,Derived Pricing Entries Decision Table,2025-06-11T19:35:26.000+0000,PricebookEntryDerivedPrice,Active,MediumVolume,1 AND 2 AND 3 AND 4 AND 5,All,SingleSobject,,,,PricingDiscovery,Completed,,true,Hbpo,,false,false,,
0lDau0000001c3FEAQ,false,Contract_Pricing_Entries_Decision_Table,en_US,Decision Tables,,Contract Pricing Entries,Contract Pricing Entries Decision Table,2025-06-11T19:35:25.000+0000,ContractItemPrice,Active,MediumVolume,1 AND 2 AND 3 AND 4 AND 5 AND 6,All,SingleSobject,,,,DefaultPricing,Completed,,true,Hbpo,,false,false,,
0lDau0000001c4rEAA,false,Contract_Pricing_Adjustment_Tiers,en_US,Decision Tables,,Contract Pricing  Adjustment Tiers,A table that stores the contract item price adjustment tiers that are used in slab calculations.,2025-06-11T19:35:24.000+0000,ContractItemPriceAdjTier,Active,MediumVolume,1 AND 2 AND 3 AND 4 AND 5,All,MultipleSobjects,,,1 AND 2,DefaultPricing,Completed,,true,Hbpo,,false,false,,
