"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"AssetActionSource","Asset Action Source","Id","Asset Action Source ID","id",18,false,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","AssetActionSourceNumber","Name","string",255,false,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"AssetActionSource","Asset Action Source","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"AssetActionSource","Asset Action Source","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","AssetActionId","Asset Action ID","reference",18,false,"[""AssetAction""]","AssetAction",false,false,,"[]",false
"AssetActionSource","Asset Action Source","ReferenceEntityItemId","Reference Entity Item ID","reference",18,true,"[""OrderItem"",""OrderItemDetail"",""WorkOrderLineItem""]","ReferenceEntityItem",false,false,,"[]",false
"AssetActionSource","Asset Action Source","ProductAmount","Product Amount","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","AdjustmentAmount","Adjustment Amount","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","EstimatedTax","Estimated Tax","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","ActualTax","Actual Tax","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","Subtotal","Subtotal","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","StartDate","Start Date","datetime",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","EndDate","End Date","datetime",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","Quantity","Quantity","double",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","TransactionDate","Transaction Date","datetime",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","ExternalReference","External Reference","string",255,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","ExternalReferenceDataSource","External Reference Data Source","string",255,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","UnitPrice","Unit Price","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","ListPrice","List Price","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","NetUnitPrice","Net Unit Price","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","TotalLineAmount","Total Line Amount","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","ObligatedAmount","Obligated Amount","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","PricingTermCount","Pricing Term Count","double",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","PeriodBoundary","Period Boundary","picklist",255,true,"[]",,false,false,,"[""Align to Calendar"",""Anniversary"",""Day of Period"",""Last Day of Period""]",false
"AssetActionSource","Asset Action Source","PeriodBoundaryDay","Period Boundary Day","int",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","PeriodBoundaryStartMonth","Period Boundary Start Month","picklist",255,true,"[]",,false,false,,"[""January"",""February"",""March"",""April"",""May"",""June"",""July"",""August"",""September"",""October"",""November"",""December""]",false
"AssetActionSource","Asset Action Source","PricebookEntryId","Price Book Entry ID","reference",18,true,"[""PricebookEntry""]","PricebookEntry",false,false,,"[]",false
"AssetActionSource","Asset Action Source","ProductSellingModelId","Product Selling Model ID","reference",18,true,"[""ProductSellingModel""]","ProductSellingModel",false,false,,"[]",false
"AssetActionSource","Asset Action Source","ProrationPolicyId","Proration Policy ID","reference",18,true,"[""ProrationPolicy""]","ProrationPolicy",false,false,,"[]",false
"AssetActionSource","Asset Action Source","TotalPrice","Total Price","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","BillingReference","Billing Reference","string",80,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","DiscountAmount","Discount Amount","currency",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","Discount","Discount","percent",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","LegalEntityId","Legal Entity ID","reference",18,true,"[""LegalEntity""]","LegalEntity",false,false,,"[]",false
"AssetActionSource","Asset Action Source","ServiceAccountId","Account ID","reference",18,true,"[""Account""]","ServiceAccount",false,false,,"[]",false
"AssetActionSource","Asset Action Source","OriginalLineNumber","Original Line Number","int",0,true,"[]",,false,false,,"[]",false
"AssetActionSource","Asset Action Source","ConstraintEngineNodeStatus__c","ConstraintEngineNodeStatus","textarea",5000,true,"[]",,false,false,,"[]",false
