"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"AttributeAdjustmentCondition","Attribute Adjustment Condition","Id","Attribute Adjustment Condition ID","id",18,false,"[]",,false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","AttributeBasedAdjRuleId","Attribute Based Adjustment Rule ID","reference",18,false,"[""AttributeBasedAdjRule""]","AttributeBasedAdjRule",false,false,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","AttributeDefinitionId","Attribute Definition ID","reference",18,false,"[""AttributeDefinition""]","AttributeDefinition",false,true,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","ProductId","Product ID","reference",18,false,"[""Product2""]","Product",false,true,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","Operator","Operator","picklist",255,false,"[]",,false,true,,"[""Equals"",""Not Equals"",""Less Than"",""Less Or Equal"",""Greater Than"",""Greater Or Equal"",""Matches"",""Exists In"",""Does Not Exist In""]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","DateTimeValue","Date Time Value","datetime",0,true,"[]",,false,true,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","DateValue","Date Value","date",0,true,"[]",,false,true,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","StringValue","String Value","string",255,true,"[]",,false,true,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","BooleanValue","Boolean Value","picklist",255,true,"[]",,false,true,,"[""True"",""False""]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","IntegerValue","Integer Value","int",0,true,"[]",,false,true,,"[]",false
"AttributeAdjustmentCondition","Attribute Adjustment Condition","DoubleValue","Double Value","double",0,true,"[]",,false,true,,"[]",false
