"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","Id","Attribute Based Adjustment Rule ID","id",18,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeBasedAdjRule","Attribute Based Adjustment Rule","AttributeCount","Attributes","int",0,true,"[]",,false,false,,"[]",false
