"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"AttributeBasedAdjustment","Attribute Based Adjustment","Id","Attribute Based Adjustment ID","id",18,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","PriceAdjustmentScheduleId","Price Adjustment Schedule ID","reference",18,false,"[""PriceAdjustmentSchedule""]","PriceAdjustmentSchedule",false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","AdjustmentType","Adjustment Type","picklist",255,false,"[]",,false,true,,"[""Percentage"",""Amount"",""Override""]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","AdjustmentValue","Adjustment Value","double",0,false,"[]",,false,true,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","EffectiveFrom","Effective From","datetime",0,false,"[]",,false,true,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","EffectiveTo","Effective To","datetime",0,true,"[]",,false,true,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","ProductSellingModelId","Product Selling Model ID","reference",18,true,"[""ProductSellingModel""]","ProductSellingModel",false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","AttributeBasedAdjRuleId","Attribute Based Adjustment Rule ID","reference",18,false,"[""AttributeBasedAdjRule""]","AttributeBasedAdjRule",false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","ProductId","Product ID","reference",18,false,"[""Product2""]","Product",false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","SellingModelType","Selling Model Type","picklist",255,true,"[]",,false,false,,"[""One Time"",""Term-Defined"",""Evergreen""]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","PricingTerm","Pricing Term","int",0,true,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","PricingTermUnit","Pricing Term Unit","picklist",255,true,"[]",,false,false,,"[""Months"",""Quarterly"",""Semi-Annual"",""Years""]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","AttributeCount","Attributes","int",0,true,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","AttributeAdjConditionsHash","Attribute Adj Conditions Hash","string",255,true,"[]",,false,false,,"[]",false
"AttributeBasedAdjustment","Attribute Based Adjustment","ScheduleType","Schedule Type","picklist",255,true,"[]",,false,false,,"[""Volume"",""Term"",""Attribute"",""Bundle"",""Custom""]",false
