"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"CalcMatrixColumnRange","Decision Matrix Column Range","Id","Decision Matrix Column Range ID","id",18,false,"[]",,false,false,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","CalculationMatrixColumnId","Decision Matrix Column ID","reference",18,false,"[""CalculationMatrixColumn""]","CalculationMatrixColumn",false,false,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","CalculationMatrixVersionId","Decision Matrix Version ID","reference",18,true,"[""CalculationMatrixVersion""]","CalculationMatrixVersion",false,true,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","RangeStartValue","Range Start Value","string",255,false,"[]",,false,true,,"[]",false
"CalcMatrixColumnRange","Decision Matrix Column Range","Occurrence","Occurrence","int",0,false,"[]",,false,true,,"[]",false
