"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"CalculationMatrix","Decision Matrix","Id","Decision Matrix ID","id",18,false,"[]",,false,false,,"[]",false
"CalculationMatrix","Decision Matrix","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"CalculationMatrix","Decision Matrix","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"CalculationMatrix","Decision Matrix","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"CalculationMatrix","Decision Matrix","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationMatrix","Decision Matrix","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"CalculationMatrix","Decision Matrix","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationMatrix","Decision Matrix","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"CalculationMatrix","Decision Matrix","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationMatrix","Decision Matrix","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"CalculationMatrix","Decision Matrix","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"CalculationMatrix","Decision Matrix","Description","Description","textarea",32768,true,"[]",,false,true,,"[]",false
"CalculationMatrix","Decision Matrix","GroupKey","Group Key","string",255,true,"[]",,false,true,,"[]",false
"CalculationMatrix","Decision Matrix","SubGroupKey","Sub Group Key","string",255,true,"[]",,false,true,,"[]",false
"CalculationMatrix","Decision Matrix","Type","Type","picklist",255,true,"[]",,false,true,,"[""Standard"",""Grouped""]",false
"CalculationMatrix","Decision Matrix","UniqueName","Unique Name","string",80,true,"[]",,false,true,,"[]",false
"CalculationMatrix","Decision Matrix","Namespace","Namespace","string",255,true,"[]",,false,true,,"[]",false
"CalculationMatrix","Decision Matrix","DecisionMatrixDefinitionId","Decision Matrix Definition ID","reference",18,true,"[""DecisionMatrixDefinition"",""DecisionTable""]","DecisionMatrixDefinition",false,false,,"[]",false
"CalculationMatrix","Decision Matrix","DecisionMatrixType","Decision Matrix Type","picklist",255,true,"[]",,false,true,,"[""Decision Matrix"",""Decision Table""]",false
"CalculationMatrix","Decision Matrix","MigrationStatus","Migration Status","textarea",32000,true,"[]",,false,false,,"[]",false
"CalculationMatrix","Decision Matrix","UsageType","Usage Type","picklist",255,true,"[]",,false,true,,"[""Default"",""Pricing"",""Record Alert"",""Product Qualification"",""Product Category Qualification"",""Financial Services Cloud"",""Rating"",""Pricing Discovery"",""Decomposition Enrichment Mapping""]",false
