"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"CostBookEntry","Cost Book Entry","Id","CostBookEntry ID","id",18,false,"[]",,false,false,,"[]",false
"CostBookEntry","Cost Book Entry","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"CostBookEntry","Cost Book Entry","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"CostBookEntry","Cost Book Entry","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"CostBookEntry","Cost Book Entry","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"CostBookEntry","Cost Book Entry","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"CostBookEntry","Cost Book Entry","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"CostBookEntry","Cost Book Entry","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"CostBookEntry","Cost Book Entry","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"CostBookEntry","Cost Book Entry","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"CostBookEntry","Cost Book Entry","CostBookId","CostBook ID","reference",18,false,"[""CostBook""]","CostBook",false,false,,"[]",false
"CostBookEntry","Cost Book Entry","ProductId","Product ID","reference",18,false,"[""Product2""]","Product",false,false,,"[]",false
"CostBookEntry","Cost Book Entry","Description","Description","textarea",255,true,"[]",,false,true,,"[]",false
"CostBookEntry","Cost Book Entry","Cost","Cost","currency",0,false,"[]",,false,true,,"[]",false
"CostBookEntry","Cost Book Entry","EffectiveFrom","Effective From","datetime",0,false,"[]",,false,true,,"[]",false
"CostBookEntry","Cost Book Entry","EffectiveTo","Effective To","datetime",0,true,"[]",,false,true,,"[]",false
