"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"PriceAdjustmentSchedule","Price Adjustment Schedule","Id","Price Adjustment Schedule ID","id",18,false,"[]",,false,false,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","Name","Price Adjustment Schedule Name","string",255,false,"[]",,false,true,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","Description","Description","textarea",255,true,"[]",,false,true,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","IsActive","Active","boolean",0,false,"[]",,false,true,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","ScheduleType","Schedule Type","picklist",255,false,"[]",,false,true,,"[""Volume"",""Term"",""Attribute"",""Bundle"",""Custom""]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","AdjustmentMethod","Adjustment Method","picklist",255,false,"[]",,false,true,,"[""Range"",""Slab""]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","EffectiveFrom","Effective from","datetime",0,true,"[]",,false,true,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","EffectiveTo","Effective to","datetime",0,true,"[]",,false,true,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","Pricebook2Id","Price Book ID","reference",18,true,"[""Pricebook2""]","Pricebook2",false,true,,"[]",false
"PriceAdjustmentSchedule","Price Adjustment Schedule","ContractId","Contract ID","reference",18,true,"[""Contract""]","Contract",false,true,,"[]",false
