"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"PriceBookEntryDerivedPrice","Derived Price","Id","Price Book Entry Derived Price ID","id",18,false,"[]",,false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","Name","Price Book Entry Derived Price Name","string",255,false,"[]",,false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","ContributingProductId","Product ID","reference",18,true,"[""Product2""]","ContributingProduct",false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","PricebookEntryId","Price Book Entry ID","reference",18,false,"[""PricebookEntry""]","PricebookEntry",false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","DerivedPricingScope","Derived Pricing Scope","picklist",255,false,"[]",,false,true,,"[""Transactional"",""Non-Transactional"",""Both""]",false
"PriceBookEntryDerivedPrice","Derived Price","EffectiveFrom","Effective From","datetime",0,false,"[]",,false,true,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","EffectiveTo","Effective To","datetime",0,true,"[]",,false,true,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","Formula","Formula","string",256,false,"[]",,false,true,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","PricingSource","Pricing Source","picklist",255,true,"[]",,false,false,,"[""Header"",""Product""]",false
"PriceBookEntryDerivedPrice","Derived Price","PricebookId","Price Book ID","reference",18,true,"[""Pricebook2""]","Pricebook",false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","ProductId","Product ID","reference",18,false,"[""Product2""]","Product",false,false,,"[]",false
"PriceBookEntryDerivedPrice","Derived Price","ProductSellingModelId","Product Selling Model ID","reference",18,false,"[""ProductSellingModel""]","ProductSellingModel",false,false,,"[]",false
