"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"PricingAdjBatchJob","Pricing Adjustment Batch Job","Id","Pricing Adjustment Batch Job ID","id",18,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","TargetObject","Target Object","picklist",255,false,"[]",,false,false,,"[""Price Adjustment Tier"",""Pricebook Entry"",""Attribute Based Adjustment"",""Bundle Based Adjustment""]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","UpdateType","Update Type","picklist",255,false,"[]",,false,true,,"[""Percentage"",""Amount"",""Override""]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","UpdateValue","Update Value","double",0,false,"[]",,false,true,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","Status","Status","picklist",255,false,"[]",,false,true,,"[""Completed"",""Partially Completed"",""In Progress"",""Failed"",""New"",""Rerun""]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","EffectiveFrom","Effective From","datetime",0,true,"[]",,false,true,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","EffectiveTo","Effective To","datetime",0,true,"[]",,false,true,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","LastTriggeredDate","Last Triggered Date","datetime",0,true,"[]",,false,true,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","RecordList","Record List","textarea",131072,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","RecordCount","Record Count","long",0,true,"[]",,false,true,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","ProcessedRecordsCount","Processed Records Count","long",0,true,"[]",,false,true,,"[]",false
"PricingAdjBatchJob","Pricing Adjustment Batch Job","ShouldSkipBulkRetry","Should Skip Bulk Retry","string",40,true,"[]",,false,false,,"[]",false
