"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","Id","Pricing Adjustment Batch Job Log ID","id",18,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","PricingAdjBatchJobId","Pricing Adjustment Batch Job ID","reference",18,false,"[""PricingAdjBatchJob""]","PricingAdjBatchJob",false,false,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","TargetRecord","Target Record","string",25,false,"[]",,false,true,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","ErrorCode","Error Code","string",255,true,"[]",,false,true,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","ErrorMessage","Error Message","textarea",1000,false,"[]",,false,true,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","EffectiveFrom","Effective From","datetime",0,true,"[]",,false,true,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","EffectiveTo","Effective To","datetime",0,true,"[]",,false,true,,"[]",false
"PricingAdjBatchJobLog","Pricing Adjustment Batch Job Log","AdjustedValue","Adjusted Value","double",0,true,"[]",,false,true,,"[]",false
