"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"PricingProcessExecution","Pricing Process Execution","Id","Process Execution Call ID","id",18,false,"[]",,false,false,,"[]",false
"PricingProcessExecution","Pricing Process Execution","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"PricingProcessExecution","Pricing Process Execution","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"PricingProcessExecution","Pricing Process Execution","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"PricingProcessExecution","Pricing Process Execution","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"PricingProcessExecution","Pricing Process Execution","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"PricingProcessExecution","Pricing Process Execution","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"PricingProcessExecution","Pricing Process Execution","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"PricingProcessExecution","Pricing Process Execution","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"PricingProcessExecution","Pricing Process Execution","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"PricingProcessExecution","Pricing Process Execution","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"PricingProcessExecution","Pricing Process Execution","ExecutionKey","Execution Key","string",100,false,"[]",,false,true,,"[]",false
"PricingProcessExecution","Pricing Process Execution","ExecutionTypeKey","Execution Type Key","string",100,false,"[]",,false,true,,"[]",false
"PricingProcessExecution","Pricing Process Execution","ExecutionType","Execution Type","picklist",20,false,"[]",,false,true,,"[""Pricing"",""Discovery"",""Api Execution"",""Pricing Line"",""Discovery Line""]",false
"PricingProcessExecution","Pricing Process Execution","Status","Status","picklist",20,false,"[]",,false,true,,"[""Success"",""Failure"",""Partial Success""]",false
"PricingProcessExecution","Pricing Process Execution","Message","Message","textarea",2000,true,"[]",,false,true,,"[]",false
