"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"CalculationProcedure","Calculation Procedure","Id","Calculation Procedure ID","id",18,false,"[]",,false,false,,"[]",false
"CalculationProcedure","Calculation Procedure","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"CalculationProcedure","Calculation Procedure","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"CalculationProcedure","Calculation Procedure","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"CalculationProcedure","Calculation Procedure","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationProcedure","Calculation Procedure","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"CalculationProcedure","Calculation Procedure","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationProcedure","Calculation Procedure","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"CalculationProcedure","Calculation Procedure","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationProcedure","Calculation Procedure","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"CalculationProcedure","Calculation Procedure","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"CalculationProcedure","Calculation Procedure","Description","Description","string",255,true,"[]",,false,true,,"[]",false
"CalculationProcedure","Calculation Procedure","InputVariablesMetadata","Input Variables Metadata","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedure","Calculation Procedure","OutputVariablesMetadata","Output Variables Metadata","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedure","Calculation Procedure","UniqueName","Unique Name","string",80,true,"[]",,false,true,,"[]",false
"CalculationProcedure","Calculation Procedure","Namespace","Namespace","string",255,true,"[]",,false,true,,"[]",false
"CalculationProcedure","Calculation Procedure","MigrationStatus","Migration Status","textarea",32000,true,"[]",,false,false,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"CalculationProcedureStep","Calculation Procedure Step","Id","Calculation Procedure Step ID","id",18,false,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CalculationProcedureVersionId","Calculation Procedure Version ID","reference",18,false,"[""CalculationProcedureVersion""]","CalculationProcedureVersion",false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","FormulaConvertedText","Formula Converted Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","FormulaExpressionText","Formula Expression Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","FormulaUiFormattedText","Formula UI Formatted Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CalculationMatrixId","Decision Matrix ID","reference",18,true,"[""CalculationMatrix""]","CalculationMatrix",false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CalculationProcedure","Expression Set","string",255,true,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","IsConditionalStep","Conditional Step","boolean",0,false,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","ConditionsConvertedText","Conditions Converted Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","ConditionsExpressionText","Conditions Expression Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","ConditionsUiFormattedText","Conditions UI Formatted Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","StepType","Step Type","picklist",255,true,"[]",,false,true,,"[""Calculation"",""Aggregation"",""Matrix Lookup"",""Group Matrix Lookup"",""Reference Procedure"",""Condition"",""Decision Table Lookup"",""Branch"",""Default Lane"",""Business Element"",""List Enabled Group"",""List Filter""]",false
"CalculationProcedureStep","Calculation Procedure Step","InputVariablesFormatText","Input Variables Format Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","IsResultIncluded","Result Included","boolean",0,false,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","CalculationMatrixType","Decision Matrix Type","string",255,true,"[]",,false,false,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","OutputVariablesFormatText","Output Variables Format Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","OutputVariablesMappingText","Output Variables Mapping Text","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","StageStepSequence","Stage Step Sequence","int",0,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","Stage","Stage","picklist",255,true,"[]",,false,true,,"[""Calculation"",""Aggregation""]",false
"CalculationProcedureStep","Calculation Procedure Step","ReferenceProcedureId","Calculation Procedure ID","reference",18,true,"[""CalculationProcedure""]","ReferenceProcedure",false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","Description","Description","string",255,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","ReturnMessageValueSet","Return Message Value Set","textarea",131072,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","Namespace","Namespace","string",255,true,"[]",,false,true,,"[]",false
"CalculationProcedureStep","Calculation Procedure Step","DecisionTableId","Decision Table ID","reference",18,true,"[""DecisionTable""]","DecisionTable",false,true,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"CalculationMatrixVersion","Decision Matrix Version","Id","Decision Matrix Version ID","id",18,false,"[]",,false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","Name","Name","string",255,false,"[]",,false,true,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","CalculationMatrixId","Decision Matrix ID","reference",18,false,"[""CalculationMatrix""]","CalculationMatrix",false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","EndDateTime","End Date Time","datetime",0,true,"[]",,false,true,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","GroupKey","Group Key","string",255,true,"[]",,false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","GroupKeyValue","Group Key Value","string",255,true,"[]",,false,true,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","IsEnabled","Active","boolean",0,false,"[]",,false,true,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","MatrixType","Matrix Type","string",255,true,"[]",,false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","Rank","Rank","int",0,true,"[]",,false,true,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","StartDateTime","Start Date Time","datetime",0,true,"[]",,false,true,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","SubGroupKey","Sub Group Key","string",255,true,"[]",,false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","SubGroupKeyValue","Sub Group Key Value","string",255,true,"[]",,false,true,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","VersionNumber","Version Number","int",0,true,"[]",,false,true,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","LoadProcessStatus","Load Process Status","picklist",255,true,"[]",,false,false,,"[""Pending"",""In Progress"",""Completed With Errors"",""Completed"",""Failed""]",false
"CalculationMatrixVersion","Decision Matrix Version","Namespace","Namespace","string",255,true,"[]",,false,true,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","DecisionMatrixDefinitionVerId","Decision Matrix Definition Version ID","reference",18,true,"[""DecisionMatrixDefinitionVersion""]","DecisionMatrixDefinitionVer",false,false,,"[]",false
"CalculationMatrixVersion","Decision Matrix Version","ApiName","API Name","string",80,true,"[]",,false,true,,"[]",false
