food,benefits
Boiled Egg,"High-quality protein; Rich in vitamins A, D, B12, and choline; Supports brain and eye health; Helps with weight management; Contains lutein and zeaxanthin"
Kiwi,"High in vitamin C; Boosts immunity; Good for digestion; High in antioxidants; Supports heart health"
Strawberry,"Rich in vitamin C and antioxidants; Good for skin health; Low calorie; Supports heart health; Anti-inflammatory"
Raspberry,"High in fiber and antioxidants; Supports gut health; Good for weight management; Contains vitamin C, K, magnesium; Anti-inflammatory"
Blueberry,"Extremely high in antioxidants (especially anthocyanins); Supports brain health and memory; Anti-inflammatory; Good for heart health; Low glycemic index; Helps regulate blood sugar"
Spinach,"Rich in vitamins A, C, K, folate, and iron; Supports eye health; Anti-inflammatory; Good for bone health; High in fiber; Low calorie"
Broccoli,"High in vitamins C, K, and folate; Rich in sulforaphane (anti-cancer compound); Supports detoxification; Good for digestion; Anti-inflammatory"
Salmon,"Rich in omega-3 fatty acids (EPA & DHA); Supports heart and brain health; High-quality protein; Contains vitamin D; Anti-inflammatory"
Avocado,"Healthy monounsaturated fats; High in potassium and fiber; Supports heart health; Good for skin and hair; Helps with nutrient absorption"
Almonds,"Rich in vitamin E, magnesium, and healthy fats; Supports heart health; Good for blood sugar control; High in protein and fiber; Antioxidant properties"
Oats,"High in beta-glucan fiber; Lowers cholesterol; Supports heart health; Helps with blood sugar stability; Good source of manganese and phosphorus"
Greek Yogurt,"High in protein and probiotics; Supports gut health; Good for bone health (calcium); Helps with weight management; Boosts immunity"
Quinoa,"Complete protein (all 9 essential amino acids); High in fiber, magnesium, and iron; Gluten-free; Supports muscle repair; Good for blood sugar control"
Sweet Potato,"Rich in beta-carotene (vitamin A); High in fiber and antioxidants; Supports immune and eye health; Anti-inflammatory; Good for digestion"
Chia Seeds,"High in omega-3s, fiber, and calcium; Supports heart health; Helps with hydration and satiety; Good for digestion; Antioxidant-rich"
Green Tea,"Rich in catechins (EGCG); Boosts metabolism; High in antioxidants; Supports brain health; May reduce cancer risk"
Dark Chocolate (70%+ cocoa),"High in flavonoids; Supports heart health; Improves blood flow; Mood enhancer; Rich in iron, magnesium, and copper"
Garlic,"Contains allicin (antimicrobial); Boosts immunity; Supports heart health; Anti-inflammatory; May lower blood pressure"
Ginger,"Anti-inflammatory and antioxidant; Good for digestion; Reduces nausea; Supports immunity; May lower blood sugar"
Turmeric,"Contains curcumin (potent anti-inflammatory); Supports brain and joint health; Antioxidant; May prevent chronic diseases; Enhances absorption with black pepper"
Lentils,"High in plant-based protein and fiber; Supports heart health; Good for blood sugar control; Rich in folate, iron, and potassium; Low cost and versatile"
Walnuts,"Rich in omega-3s (ALA); Supports brain health; Anti-inflammatory; Good for heart health; High in antioxidants"
Kale,"Extremely nutrient-dense (vitamins A, C, K); High in antioxidants; Supports detoxification; Good for eye and bone health; Anti-cancer properties"
Beetroot,"High in nitrates (improves blood flow); Rich in folate and manganese; Supports stamina and heart health; Anti-inflammatory; Detoxifying"
Pomegranate,"High in punicalagins and anthocyanins; Strong antioxidant; Supports heart health; Anti-inflammatory; May improve memory"
