"id","name","joke"
"0009b5e4-adbf-48ef-b124-16a863bac35d","Golfer Pants","Why did the golfer bring two pairs of pants? In case he got a hole-in-one."
"01abc0a0-b3d7-4676-88ce-941f3e44fcf6","My Type Of Humor","I went to the doctor today and he told me I had type A blood, but it was a type O."
"0299eb9b-b4d2-4cfa-8292-0ccd8292bb07","Kleptomania","I have kleptomania, but when it gets bad, I take something for it."
"03ac5ebb-d2eb-41c1-a00f-9af5729ffc54","Every 6 Months","What time did the man go to the dentist? Tooth hurt-y."
"051227b9-c981-4722-99e3-3a153c22a3fe","Thoughtful Clown","Yesterday a clown held a door open for me. I thought it was a nice jester."
"06bac40c-ee53-4122-856a-dee04a99ad80","These Jokes Have Sunk So Low","What lies on the ocean floor and shivers? A nervous wreck."
"0790c324-7538-42fd-93bd-af0d354d8368","The End Of The Joke","People keep making apocalypse jokes like there's no tomorrow."
"0957a0bf-8ea0-4b2b-aae3-e46dca9d5bae","Beef Oven","What was Beethoven's fifth favorite fruit? Ba-na-na-na."
"0e649c7e-452f-4040-84c1-08831871b948","Wonderwall","My son asked me to stop singing Oasis songs in public. I said maybe."
"0efbad3c-5b35-433a-a984-52de7edafa07","Wanted For Eight Armed Robbery","Who is the quickest draw in the ocean? Billy the Squid."
"0fc88703-abdd-4606-9167-20a55971b9f0","Obviously","What's big, red, and eats rocks? A big, red, rock-eater."
"1112350c-3e30-4d9f-be75-e2ee4b224809","It's NOT Funny, Chocolate","Whenever I want to start eating healthy, a chocolate bar looks at me and Snickers."
"11494f48-d75e-49df-8964-1022193d0e96","Tropical Diet","My wife is on a tropical food diet, the house is full of the stuff. It's enough to make a mango crazy."
"12d42b25-23db-48be-a24f-4237ba406553","Pirate Birthday","What did the pirate say on his 80th birthday? Aye matey"
"13a0a567-e55d-4c53-b7ef-324d5d16ae47","They Only Serve Cheese","Did you hear about the new restaurant on the moon? The food is great, but there's just no atmosphere."
"1552cf30-012b-4bf7-8678-b5df56212973","Well Dressed Bicycle","What's the difference between a well dressed man on a a bicycle and a poorly dressed man on a tricycle? Attire!"
"18c42b79-4ce7-4252-862f-0fda1fc8441b","I Can't Hear This Joke","What is Beethoven's favorite fruit? A ba-na-na-na."
"19536c80-57ec-4e13-9575-b759b80a551a","Andes Are In The Candy Aisle","Where are the Andes? At the end of your armies."
"22dea85e-3954-45dd-9425-d149089515ab","Bakery Fire","My friend's bakery burned down last night. Now his business is toast."
"270b2128-edec-451a-9586-a8bc55ecbe4e","This Joke Will Spark A Laugh","What's the difference between a hippo and a Zippo? One is heavy, and the other is a little lighter."
"27d5bf38-1df2-4725-852d-08b118e928b7","I'll Never Let Go Of This Joke","What do you get if you cross the Atlantic with the Titanic? About halfway."
"2a528ebe-8e66-4908-8930-0778f9385770","Lawnmower Bird-Man","What do you get when you run over a bird with your lawnmower? Shredded tweet."
"2eac2186-b14c-4792-ab4d-a0aae0293343","ashes","When the window fell into the incinerator, it was a pane in the ash to retrieve."
"2fdb2916-e33b-45c1-87ce-1200fa581f3b","Clean Vocals","Singing in the shower is all fun and games until you get shampoo in your mouth. Then it's a soap opera."
"3719ac94-ffd9-4dbb-8081-dfb872163e32","Banana Joke For Scale","Why did the banana go to the doctors'? He wasn't peeling very well."
"3775c7e2-d5c2-47d6-8329-2d34f01d03f6","Prison Jewelry","What's the difference between a jeweller and a prison warden? One sells watches, and the other watches cells."
"3779b0e7-c17b-4b19-bfef-34265a29e883","Soul Duck","How do you turn a duck into a soul singer? Put it in a microwave until its bill withers."
"377d4fb2-ec20-4213-b06c-dabd4184cd14","This Joke Expired Years Ago","I am terrified of elevators. I'm going to start taking steps to avoid them."
"37f952de-ce70-4ac8-b251-08be7f3732b1","Milking Fast","Milk is also the fastest liquid on earth. It's pasteurized before you even see it."
"395448f6-6626-41ba-8cb3-2eab89d3850b","Trampoline Bed","I just swapped our bed for a trampoline. My wife hit the roof."
"3a6276ef-e86f-46e0-ba11-2ef8666833ad","My Day","The rotation of earth really makes my day."
"3d66a4ab-d890-477f-b456-d498d44b2093","Just The Tip Of The Worm","What's worse than finding a worm in your apple? Finding half a worm."
"3e1789f5-7b0d-4a37-acd3-eecadb98a72d","Frog Facts","Just read a few facts about frogs. They were ribbiting."
"403812cc-fb4a-4844-9bd8-5315679925e4","Do Androids Dream of Electric Clouds?","What do you call a sheep with no legs? A cloud."
"45230882-8dd9-4e51-87ba-b917dc85fa5b","I Take My Puns Rare","A steak pun is a rare medium well done."
"47cf657b-8d0a-43f8-a47a-2981efa93db8","Checkout Girl","I asked the checkout girl for a date. She said ""They're in the fruit aisle next to the bananas."""
"47e287a2-e9e7-4208-bb33-b2faae97c1c6","Small Thefts","Did you hear that the police have a warrant out on a midget psychic ripping people off? It reads ""Small medium at large."""
"4970b3b4-3e8d-4d2c-9c62-9e2930c25826","You Can't Handle The Ending","Why did the octopus beat the shark in a fight? Because it was well armed."
"4c395572-e542-4cc2-9dd6-4cd5edc2ec7a","Eye Love This Joke","What do you call a fish with no eyes? Fsh."
"4fca91c6-4036-4515-8a94-884a4b97490c","Exhaust","I had a dream that I was a muffler last night. I woke up exhausted."
"4fd6156b-7c92-4923-bec1-81e81fb15a81","counting cows","How do you count cows? A 'Cow'culator"
"5037edb1-0d24-4f0b-9dde-48b1a64a0b8a","Perforated Hatred","I hate perforated lines, they're tearable."
"5763188a-96de-471f-b188-708e57decff4","I Wish I Had Laser Hair","Why do so many people with laser hair want to get it removed?"
"5ce358cc-68f4-4deb-a779-aec6c2386cd5","Czech This Joke Out","I was thinking about moving to Moscow but there is no point Russian into things."
"5fc986ec-8e13-496b-ae6a-2a7ef99629d4","The Dream Was Deep In Soda Me","I dreamed about drowning in an ocean made out of orange soda last night. It took me a while to work out it was just a Fanta sea."
"61642a2b-4348-4e9f-bd20-dfefbc618519","If You Count Alcoholics As Wealth","What is the richest country in the world? Ireland. Its capital is always Dublin."
"64e2fc14-5c1c-461e-bec9-5b98ce1906ec","Sandwich","A ham sandwich walks into a bar and orders a beer. The bartender looks at him and says, ""Sorry we don't serve food here."""
"651bc854-d416-4c28-9216-07784eaf9390","He's Alright","Did you hear about the guy whose whole left side was cut off? He's all right now."
"6f003dcc-d043-4bfd-9967-35b3cc6cf041","Tasteless Joke","Today a girl said she recognized me from vegetarian club, but I'm sure I've never met herbivore."
"72ca0902-b229-4efb-b98e-19aeed00a77f","Light Up Their Christmas","If you're struggling to think of what to get someone for Christmas. Get them a fridge, and watch their face light up when they open it."
"7468097f-556b-49aa-a24e-8ce04a395759","24 Hours","Astronomers got tired of watching the moon go round the earth for 24 hours, so they decided to call it a day."
"74bddcfd-b053-4f24-b989-883b7e83c03b","Nut Assault","Two peanuts were walking down the street. One was a salted."
"74c77b69-d902-425f-b13b-7fb609415aac","Not Even A Tinkle","Why can't you hear a pterodactyl using the bathroom? Because the P is silent."
"76942e59-9194-45d2-aede-0767a2f43d0e","Meling","What do you call a man with a rug on his head? Matt."
"7bae6c84-2c88-41f0-a6a6-60758e8ba4b5","A Toast To Monkey Jokes","How do you make toast in the jungle? Pop your bread under a g'rilla."
"7ff5b927-e7b4-4dbe-ba58-f1e5a17d7ac2","Burglars","How does a burglar get into your house? Intruder window."
"8007fbad-03cb-482a-9d4e-ea7cc721b878","De-Grubered","I've deleted the phone numbers of all the Germans I know from my mobile phone. Now it's Hans free."
"81a2d43c-0492-4faf-a98d-f5036cc9c2b5","Flamingo","When my wife told me to stop impersonating a flamingo, I had to put my foot down."
"8820ebd8-21ab-43de-aa1c-442d488ef065","Doorbells","Doorbells, don't knock 'em."
"8ca7aba6-ab58-4f2b-b868-62f23f19a395","Terror Of The Skies","What has twenty legs and flies? Ten pairs of pants."
"8cd3b5ea-a375-43a3-b70a-f1f010a67596","This Piano Jokes Struck A Chord","What do you get if you drop a piano down a coal shaft? A flat minor."
"8cf94093-4194-4abb-851a-3190f5876d41","Whiteboards","Whiteboards are remarkable."
"8d9710ce-c154-4fc0-b4ba-e3b36c374caf","I Predict A Heart Attack","What do you call a fat psychic? A four-chin teller."
"90482c63-daee-407b-86fd-c0451d3c711b","Lieutenant Dan","To the man in the wheelchair that stole my camouflage jacket; You can hide, but you can't run."
"9d92295e-7b21-402a-bc34-504c7ebbac29","You Have To Be Kitten Me","My cat just threw up on the carpet. I don't think it's feline well."
"ab0be3ec-303e-4064-8146-8b2d102e40dd","I'm Positive","Two atoms are walking down the street. One says, ""Oh no! I lost an electron!"", The other asks him, ""Are you sure?"", The first one says, ""Yeah, I'm positive"""
"ab84a709-326f-4770-bd18-9ff8f5025de2","Thing Factory","Where are average things built? In the satisfactory."
"ac158965-d90d-4b79-94c1-3b00dc22c324","Color Me Concerned","A red and a blue ship have just collided in the Caribbean. Apparently the survivors are marooned."
"b3029129-7985-4bb0-a98b-31602741bb23","Swiss Cheesey","What's the advantage of living in Switzerland? Well, the flag is a big plus."
