id,name,joke
001a2b3c-4d5e-678f-9012-abcdef123456,Super Mom,Why did the mom bring a ladder to the store? Because prices were through the roof!
00f2e3d4-5678-49ab-8cde-abcdef987654,Mother Nature,Why did the mom plant light bulbs? She wanted to grow power plants!
0123abcd-ef45-6789-abcd-987654321000,Mom Logic,If at first you don’t succeed, do it the way Mom told you to in the first place.
0234bcde-7890-4fab-cdef-654321098765,Spice Rack,Why did Mom bring pepper spray to the grocery store? She heard there might be some "chili" customers.
0345cdef-8901-5abc-def0-543210987654,Breakfast Boss,Why did Mom sit on the pancake? She wanted a balanced breakfast.
0456def0-9012-6bcd-ef01-432109876543,Laundry Day,Why did the mom sit next to the washing machine? She wanted to keep things spin-teresting.
0567ef01-0123-7cde-f012-321098765432,Mom Math,Why do moms make great calculators? Because they can count on themselves.
0678f012-1234-8def-0123-210987654321,Quiet Time,Why did Mom cross the playground quietly? To get to the other “slide” of peace.
0789f123-2345-9ef0-1234-109876543210,Motherboard,Why did the computer call its mom? It had a bad connection.
0890f234-3456-a0f1-2345-098765432109,Coffee Queen,Why do moms love coffee so much? Because it’s “mug-nificent”.
0991f345-4567-b1f2-3456-187654321098,Mom Jokes 101,Why did Mom go to school? To improve her "parent-thesis".
0aa2f456-5678-c2f3-4567-276543210987,Snack Inspector,Why did Mom hide in the cupboard? To see if the cookies were up to "snuff".
0bb3f567-6789-d3f4-5678-365432109876,WiFi Whisperer,Why do moms never lose signal? Because they always find a better connection.
0cc4f678-7890-e4f5-6789-454321098765,Master Chef,Why did Mom bring string to the dinner table? To tie up loose ends.
0dd5f789-8901-f5f6-7890-543210987654,Time Traveler,Why do moms love early mornings? Because it’s their time machine for peace and quiet.
0ee6f890-9012-a6f7-8901-632109876543,Supervision,Why do moms wear sunglasses in the kitchen? Because their future meals are so bright.
0ff7f901-0123-b7f8-9012-721098765432,Homework Hero,Why did the mom carry a pencil everywhere? She always wanted to draw attention.
1008fa12-1234-c8f9-0123-810987654321,Healthy Mom,Why did Mom go on a diet of music? She wanted a better “tone”.
1119fb23-2345-d9fa-1234-909876543210,Bedtime Story,Why did the mom take her kids to the library? Because she wanted to check out for a bit.
122afb34-3456-eafb-2345-998765432109,Multitasker,Moms don’t need superheroes — they just call themselves in three directions at once.
133bfc45-4567-fb0c-3456-887654321098,Kind Reminder,Why did Mom bring a broom to the meeting? To sweep everyone off their feet.
144cfd56-5678-ac1d-4567-776543210987,Sunday Rest,What’s a mom’s favorite day of the week? Any day that starts with coffee and ends with sleep.
155dfe67-6789-bd2e-5678-665432109876,Memory Lane,Why did Mom never lose at trivia? Because she remembers everything you ever did wrong.
166eff78-7890-ce3f-6789-554321098765,Tech Savvy,Why did Mom start coding? Because she wanted to debug life.
177f0089-8901-df40-7890-443210987654,Mom’s GPS,Why don’t moms need maps? Because they already know where you’ve been.
1880019a-9012-e041-8901-332109876543,Love Language,Why did the mom become a translator? Because she speaks fluent “eye roll”.`;
