name,scientificName,family,reasonToAvoid,hardiness,height,spread,sunlight,soil,growth,invasivenessLevel,nativeRange,notes
Tree of Heaven,Ailanthus altissima,Simaroubaceae,"Highly invasive; spreads aggressively via seeds and root sprouts; releases allelopathic chemicals that suppress native plants; foul odor; weak wood prone to breakage; host for spotted lanternfly",3-9,60-80 feet,40-60 feet,Full sun to shade,"Tolerates poor, dry, compacted soil",Very fast,High,China and Taiwan,"Banned or restricted in many states; do not plant under any circumstances"
Bradford Pear,Callery Pear Pyrus calleryana 'Bradford',Rosaceae,"Invasive escapee from cultivars; weak branch structure leads to storm damage; foul-smelling flowers; thorny wild forms; overplanted and ecologically useless",5-9,30-50 feet,20-35 feet,Full sun,"Adaptable, including clay",Fast,High,East Asia,"All Callery pear cultivars can cross-pollinate and produce invasive seedlings"
Silver Maple,Acer saccharinum,Sapindaceae,"Weak wood and shallow roots cause sidewalk heaving and frequent branch failure; short-lived; aggressive surface roots; pest magnet (aphids, scale)",3-9,50-80 feet,35-60 feet,Full sun to part shade,"Moist to wet, adaptable",Very fast,Low (but problematic),Eastern North America,"Native but ecologically and structurally problematic in urban settings"
Siberian Elm,Ulmus pumila,Ulmaceae,"Highly invasive; weak brittle wood; short-lived; heavy seeder; pest and disease prone; low-value wood",3-9,40-70 feet,40-60 feet,Full sun,"Tolerates drought, salt, poor soil",Very fast,High,Northern China and Siberia,"Often planted as a fast screen but escapes and outcompetes natives"
Black Locust,Robinia pseudoacacia,Fabaceae,"Invasive in many regions; sharp thorns; suckers aggressively; short-lived; wood valuable but tree is high-maintenance; toxic seeds and bark",3-8,40-70 feet,30-50 feet,Full sun,"Poor to fertile, dry to moist",Fast,Medium to High,Eastern United States,"Native in Appalachia but invasive elsewhere; forms dense thickets"
Princess Tree,Paulownia tomentosa,Paulowniaceae,"Extremely invasive; lightweight wood but spreads via millions of wind-dispersed seeds; weak wood; hollow trunks; dies back in cold winters",5-9,30-60 feet,30-50 feet,Full sun,"Well-drained, fertile",Very fast,High,China,"One of the fastest-growing trees; banned in Connecticut and other areas"
White Mulberry,Morus alba,Moraceae,"Highly invasive; hybridizes with native red mulberry; fruits stain pavement; pollen is highly allergenic; supports silkworms but harms ecosystems",4-8,30-50 feet,30-50 feet,Full sun,"Adaptable, drought tolerant",Fast,High,East Asia,"Competes with and genetically pollutes native red mulberry populations"
Norway Maple,Acer platanoides,Sapindaceae,"Invasive; dense shade suppresses understory; shallow roots compete aggressively; overplanted in urban areas; yellow fall color but low wildlife value",4-7,40-60 feet,40-50 feet,Full sun to shade,"Adaptable, urban tolerant",Medium,High,Europe,"Banned in Massachusetts and New Hampshire; outcompetes sugar maple"
Mimosa,Albizia julibrissin,Fabaceae,"Invasive in the South; short-lived; weak wood; messy flowers and pods; attracts webworms; surface roots; dies in cold snaps",6-9,20-40 feet,30-50 feet,Full sun,"Dry to moist, well-drained",Fast,High,Iran to Japan,"Pretty pink flowers but high-maintenance and ecologically disruptive"
Russian Olive,Elaeagnus angustifolia,Elaeagnaceae,"Invasive in western U.S.; thorny; nitrogen-fixing alters soil; dense thickets crowd out natives; low wildlife value despite berries",2-7,15-30 feet,15-25 feet,Full sun,"Dry, sandy, saline-tolerant",Fast,High,Central Asia and Southern Europe,"Banned in Colorado, New Mexico; forms impenetrable thickets"
Autumn Olive,Elaeagnus umbellata,Elaeagnaceae,"Highly invasive; nitrogen-fixing; dense growth; millions of bird-dispersed seeds; outcompetes natives in fields and forests",3-8,15-20 feet,15-20 feet,Full sun,"Dry, poor, disturbed",Fast,High,East Asia,"Banned in several states; berries eaten by birds but spread aggressively"
Chinese Tallow (Popcorn Tree),Triadica sebifera,Euphorbiaceae,"Extremely invasive in the Southeast; rapid spread via seeds and suckers; toxic sap; colorful fall foliage but destroys wetlands and grasslands",8-11,30-40 feet,20-30 feet,Full sun,"Wet to dry, adaptable",Fast,High,China and Japan,"One of the worst invasives in Louisiana, Texas, and Florida"
Empress Tree,Paulownia tomentosa,Paulowniaceae,"Same as Princess Tree; extremely fast-growing; weak wood; massive seed production; dies back in Zone 5 winters",5-9,30-60 feet,30-50 feet,Full sun,"Well-drained",Very fast,High,China,"Often sold as 'Royal Empress' — avoid all marketing names"
Willow (non-native hybrids),Salix spp. (non-native),Salicaceae,"Aggressive roots clog pipes and drains; weak wood; short-lived; high water use; pest-prone",Varies,20-80 feet,15-50 feet,Full sun,"Wet soils, streambanks",Very fast,Medium,Hybrid origins,"Native willows are fine; avoid hybrid basket willows and non-native species"
Lombardy Poplar,Populus nigra 'Italica',Salicaceae,"Very short-lived (15-30 years); weak wood; canker disease; aggressive roots; male clones produce cottony fluff",3-9,40-70 feet,10-15 feet,Full sun,"Moist, well-drained",Very fast,Low,Europe,"Often planted for quick screen but fails quickly and looks bad"
