name,scientificName,family,description,hardiness,height,spread,sunlight,soil,growth,uses,wildlife,nativeRange,fallColor,wikipediaLink
Banyan Tree,Ficus benghalensis,Moraceae,"The national tree of India, known for its aerial prop roots that grow downward and form new trunks. Can spread over several acres and live for centuries. Sacred in Hindu, Jain, and Buddhist traditions.",Tropical,"60-100 feet","Spreads widely, can cover acres","Full sun","Well-drained, tolerates various soils","Slow to medium","Shade tree; Traditional medicine; Religious and cultural significance; Avenue tree","Fruits eaten by birds, bats, and monkeys","Indian subcontinent","Evergreen",https://en.wikipedia.org/wiki/Ficus_benghalensis
Neem Tree,Azadirachta indica,Meliaceae,"Known as the 'village pharmacy' for its extensive medicinal properties. Highly valued in Ayurveda and used for pest control. Drought-resistant and thrives in harsh conditions.",Tropical to subtropical,"50-60 feet","30-40 feet","Full sun","Well-drained, tolerates poor soil","Fast","Medicinal uses; Natural pesticide; Timber; Traditional toothbrush (datun); Cosmetics","Provides nectar for bees","Indian subcontinent, now widespread in tropics","Semi-deciduous",https://en.wikipedia.org/wiki/Azadirachta_indica
Peepal Tree,Ficus religiosa,Moraceae,"Sacred tree in Hinduism, Buddhism, and Jainism. Known as the Bodhi tree under which Buddha attained enlightenment. Heart-shaped leaves rustle in the slightest breeze.",Tropical,"60-80 feet","Spreads widely","Full sun","Well-drained, adaptable","Medium to fast","Religious significance; Shade tree; Traditional medicine; Oxygen production 24/7","Fruits eaten by birds and bats","Indian subcontinent","Evergreen",https://en.wikipedia.org/wiki/Ficus_religiosa
Mango Tree,Mangifera indica,Anacardiaceae,"The national fruit tree, cultivated for over 4,000 years. Produces delicious fruits and is deeply embedded in Indian culture. Over 1,000 varieties exist in India.",Tropical to subtropical,"40-100 feet","30-40 feet","Full sun","Well-drained, slightly acidic","Medium","Edible fruit; Timber; Leaves used in rituals; Mango wood for furniture; Pickles and chutneys","Fruits eaten by birds, bats, and mammals","Indigenous to Indian subcontinent","Evergreen",https://en.wikipedia.org/wiki/Mangifera_indica
Indian Rosewood,Dalbergia latifolia,Fabaceae,"Also called Shisham, highly valued for its durable, beautiful wood. Used extensively in fine furniture and musical instruments. Wood has distinctive fragrance.",Subtropical to tropical,"60-80 feet","40-50 feet","Full sun to part shade","Well-drained, fertile","Medium","Premium furniture; Musical instruments (especially tablas); Veneer; Agricultural implements","Flowers attract bees","South India, naturalized elsewhere","Deciduous, yellow leaves before dropping",https://en.wikipedia.org/wiki/Dalbergia_latifolia
Teak,Tectona grandis,Lamiaceae,"World-renowned timber tree with golden-brown wood. Extremely durable and weather-resistant. Major plantation species for commercial forestry.",Tropical to subtropical,"100-130 feet","30-50 feet","Full sun","Well-drained, deep soil","Medium","High-quality timber for furniture; Shipbuilding; Veneer and plywood; Outdoor furniture","Flowers attract bees and butterflies","Central India, naturalized in South India","Deciduous, large leaves drop in winter",https://en.wikipedia.org/wiki/Tectona_grandis
Sal Tree,Shorea robusta,Dipterocarpaceae,"Sacred tree in Hinduism and Buddhism. Dominant tree in Sal forests of northern and central India. Important timber species.",Subtropical,"80-115 feet","40-60 feet","Full sun","Well-drained, slightly acidic","Slow to medium","Durable timber for construction; Resin for incense and medicine; Leaves used as plates; Firewood","Seeds eaten by wildlife","Northern and eastern India, Himalayas","Deciduous",https://en.wikipedia.org/wiki/Shorea_robusta
Jamun Tree,Syzygium cumini,Myrtaceae,"Also called Black Plum or Java Plum. Produces purple-black fruits with medicinal properties, especially for diabetes. Fruits stain tongue purple.",Tropical to subtropical,"50-80 feet","30-40 feet","Full sun","Moist, well-drained","Medium","Edible fruit; Medicinal uses for diabetes; Vinegar production; Wood for furniture; Natural dye","Fruits eaten by birds and bats","Indigenous to India","Evergreen",https://en.wikipedia.org/wiki/Syzygium_cumini
Indian Almond,Terminalia catappa,Combretaceae,"Coastal tree with large leaves that turn red before falling. Nuts edible but hard to crack. Provides excellent shade.",Tropical,"50-80 feet","40-60 feet","Full sun","Well-drained, salt-tolerant","Fast","Shade tree; Edible nuts; Tannin from bark; Traditional medicine; Leaves used in aquariums","Fruits eaten by bats and birds","Coastal India","Deciduous, red-orange fall color",https://en.wikipedia.org/wiki/Terminalia_catappa
Coconut Palm,Cocos nucifera,Arecaceae,"Known as 'Kalpavriksha' (tree of life). Every part used - fruit, water, oil, leaves, trunk. Integral to coastal Indian culture and economy.",Tropical,"60-100 feet","20-30 feet crown spread","Full sun","Sandy, well-drained, salt-tolerant","Medium","Edible fruit and water; Copra for oil; Leaves for thatching; Coir from husk; Timber; Toddy drink","Fruits eaten by wildlife when opened","Coastal regions of India","Evergreen",https://en.wikipedia.org/wiki/Cocos_nucifera
