name,scientificName,family,description,hardiness,height,spread,sunlight,soil,growth,uses,wildlife,nativeRange,fallColor
Sugar Maple,Acer saccharum,Sapindaceae,"A large deciduous tree known for its spectacular fall foliage and sap used to make maple syrup. The sugar maple is the state tree of Vermont, West Virginia, Wisconsin, and New York.",3-8,60-75 feet,40-50 feet,Full sun to part shade,"Well-drained, slightly acidic to neutral",Slow to medium,"Lumber for furniture and flooring; Maple syrup production; Ornamental shade tree; Wood for musical instruments",Seeds eaten by birds and small mammals,Eastern North America,"Orange, red, yellow"
Red Maple,Acer rubrum,Sapindaceae,"One of the most common trees in eastern North America, valued for its brilliant red fall color and adaptability to various soil conditions.",3-9,40-70 feet,30-50 feet,Full sun to part shade,"Adaptable, prefers moist",Medium to fast,"Ornamental landscaping; Lumber for furniture; Urban street tree; Firewood",Flowers provide early nectar for bees,Eastern United States and Canada,Brilliant red to orange
Eastern White Pine,Pinus strobus,Pinaceae,"The tallest tree in eastern North America, featuring soft, flexible needles in bundles of five. Historically important for ship masts and lumber.",3-8,50-80 feet,20-40 feet,Full sun,"Well-drained, acidic to neutral",Medium to fast,"Softwood lumber; Construction timber; Woodworking; Christmas trees",Seeds eaten by birds and squirrels,Northeastern North America,Evergreen
Ponderosa Pine,Pinus ponderosa,Pinaceae,"A massive western pine with distinctive orange-red bark plates and long needles. Known for its vanilla-scented bark and drought tolerance.",3-7,60-100 feet,25-30 feet,Full sun,"Well-drained, tolerates poor soil",Medium,"Lumber for construction; Telephone poles; Railroad ties; Firewood",Important for cavity-nesting birds,Western North America,Evergreen
White Oak,Quercus alba,Fagaceae,"A majestic hardwood tree with rounded lobes on leaves, producing sweet acorns. The white oak is prized for its strong, durable wood and is the state tree of Illinois, Connecticut, and Maryland.",3-9,50-80 feet,50-80 feet,Full sun,"Deep, moist, well-drained",Slow to medium,"Premium furniture wood; Whiskey barrel construction; Flooring; Shipbuilding","Acorns are prime food for deer, turkeys, and squirrels",Eastern and Central United States,Red to burgundy
Red Oak,Quercus rubra,Fagaceae,"A fast-growing oak with pointed leaf lobes and bitter acorns. Widely planted as a street and shade tree due to its tolerance of urban conditions.",3-8,60-75 feet,40-60 feet,Full sun,"Well-drained, slightly acidic",Fast for an oak,"Lumber for furniture and cabinets; Flooring; Interior trim; Firewood",Acorns support diverse wildlife,Eastern North America,Red to russet-red
Black Walnut,Juglans nigra,Juglandaceae,"A valuable hardwood tree producing edible nuts and one of the most expensive native hardwoods. The tree releases juglone, which inhibits growth of some nearby plants.",4-9,50-75 feet,50-75 feet,Full sun,"Deep, fertile, well-drained",Medium to fast,"Premium furniture and veneer; Gunstocks; Edible nuts; Natural wood dye",Nuts eaten by squirrels,Eastern United States,Yellow
Shagbark Hickory,Carya ovata,Juglandaceae,"Named for its distinctive shaggy bark that peels in large strips. Produces sweet, edible nuts and extremely hard, shock-resistant wood.",4-8,60-80 feet,40-50 feet,Full sun,"Deep, moist, well-drained",Slow,"Tool handles and axe handles; Smoking meat; Edible nuts; Firewood - excellent heat",Nuts highly valuable for wildlife,Eastern United States,Golden yellow
American Chestnut,Castanea dentata,Fagaceae,"Once dominant in eastern forests, nearly wiped out by chestnut blight in early 1900s. Efforts underway to breed blight-resistant varieties.",4-8,50-75 feet (historically to 100 feet),50-75 feet,Full sun,"Well-drained, slightly acidic",Fast,"Rot-resistant lumber (historical); Edible nuts; Tannin extraction; Restoration projects",Nuts were crucial food source for wildlife,Eastern United States (now rare),Yellow-brown
American Elm,Ulmus americana,Ulmaceae,"An iconic vase-shaped tree that once lined streets across America. Dutch elm disease has devastated populations, but disease-resistant cultivars are being developed.",2-9,60-80 feet,60-80 feet,Full sun to part shade,"Adaptable, prefers moist",Fast,"Historic street tree; Shade tree; Lumber for furniture; Basket making",Seeds eaten by birds and small mammals,Eastern North America,Yellow
Bald Cypress,Taxodium distichum,Cupressaceae,"A deciduous conifer that thrives in swamps and wet areas. Develops distinctive 'knees' (pneumatophores) when growing in water.",4-10,50-70 feet,20-30 feet,Full sun,"Wet to dry, very adaptable",Medium,"Rot-resistant lumber; Landscaping near water; Mulch from shredded bark; Furniture",Seeds eaten by waterfowl,Southeastern United States,Russet-brown before dropping
Douglas Fir,Pseudotsuga menziesii,Pinaceae,"Not a true fir, but one of the most important timber trees in North America. Can live over 500 years and reach enormous sizes.",4-6,40-80 feet (to 200+ feet in nature),12-20 feet,Full sun,"Well-drained, acidic",Medium to fast,"Construction lumber; Plywood; Christmas trees; Flooring and veneers",Seeds important for birds and small mammals,Western North America,Evergreen
American Beech,Fagus grandifolia,Fagaceae,"Smooth gray bark makes this tree distinctive. Holds its copper-colored dead leaves through winter, providing year-round interest.",3-9,50-70 feet,40-60 feet,Full sun to part shade,"Moist, well-drained, slightly acidic",Slow to medium,"Hardwood flooring; Furniture; Veneer; Firewood",Beechnuts feed many species,Eastern United States,Golden bronze
Black Cherry,Prunus serotina,Rosaceae,"Valued for its beautiful reddish-brown wood used in fine furniture. Produces small black cherries eaten by wildlife but bitter to humans.",3-9,50-80 feet,30-60 feet,Full sun to part shade,"Well-drained, adaptable",Medium to fast,"Premium furniture wood; Cabinets; Musical instruments; Flavoring extract from bark",Cherries important food for birds,Eastern North America,Yellow to red
Quaking Aspen,Populus tremuloides,Salicaceae,"The most widely distributed tree in North America. Leaves tremble in the slightest breeze due to flattened petioles. Forms large clonal colonies.",1-6,40-50 feet,20-30 feet,Full sun,"Moist, well-drained",Fast,"Pulpwood for paper; Oriented strand board (OSB); Matchsticks; Erosion control",Bark important food for elk and deer in winter,Across North America,Brilliant golden yellow
Sweetgum,Liquidambar styraciflua,Altingiaceae,"Known for star-shaped leaves and spiky seed balls. Excellent fall color, but the seed balls can be a maintenance issue.",5-9,60-75 feet,40-50 feet,Full sun,"Moist, acidic, well-drained",Medium to fast,"Lumber for furniture and cabinets; Veneer; Plywood; Storax resin for perfumes",Seeds eaten by birds and squirrels,Southeastern United States,"Yellow, orange, red, purple"
Tulip Tree,Liriodendron tulipifera,Magnoliaceae,"Also called Yellow Poplar, one of the tallest eastern hardwoods. Tulip-shaped flowers appear in spring, and leaves are distinctively shaped.",4-9,70-90 feet,30-50 feet,Full sun,"Deep, moist, well-drained",Fast,"Lumber for furniture; Cabinets and millwork; Pulpwood; Honey production from flowers",Seeds eaten by birds and small mammals,Eastern United States,Yellow
Flowering Dogwood,Cornus florida,Cornaceae,"A small ornamental tree with showy spring flowers (actually bracts). State tree of Virginia and Missouri. Provides excellent fall color and winter berries.",5-9,15-30 feet,15-30 feet,Part shade to full sun,"Moist, well-drained, acidic",Slow to medium,"Ornamental landscaping; Tool handles (historically); Small woodworking projects; Wildlife plantings",Berries eaten by many bird species,Eastern United States,Red to reddish-purple
Eastern Redcedar,Juniperus virginiana,Cupressaceae,"Actually a juniper, not a cedar. Dense wood is aromatic and naturally moth-repellent. Pioneer species often first to colonize fields.",2-9,40-50 feet,8-20 feet,Full sun,"Adaptable, drought tolerant",Slow to medium,"Cedar chests and closet lining; Pencils; Fence posts; Essential oil",Berries important winter food for birds,Eastern and Central United States,Evergreen (bronze in winter)
Bigleaf Maple,Acer macrophyllum,Sapindaceae,"The largest maple in North America with leaves up to 12 inches across. Pacific Northwest native valued for figured wood grain.",6-9,50-75 feet,30-50 feet,Full sun to part shade,"Moist, well-drained",Medium to fast,"Figured wood for guitars and furniture; Veneer; Syrup production (less than sugar maple); Flooring",Seeds eaten by birds and small mammals,Pacific Coast,Yellow to orange
